Position;PositionIdx;Indices;Frame;Idx;Time;raw_intensity;Area;SNR;SpineWidth;SpineLength
Im002;0;0-62;0;62;0.00000;392.07336;2.96058;139.81872;0.97465;2.77475
Im002;0;0-63;0;63;0.00000;341.75168;3.40638;89.49704;0.88842;3.30717
Im002;0;0-64;0;64;0.00000;312.86842;3.04060;60.61378;0.90626;2.92073
Im002;0;0-65;0;65;0.00000;374.76220;1.87465;122.50756;0.84317;1.90421
Im002;0;0-66;0;66;0.00000;379.50233;2.45763;127.24769;0.89782;2.32758
Im002;0;0-67;0;67;0.00000;366.21285;2.84627;113.95821;0.99609;2.59793
Im002;0;0-68;0;68;0.00000;401.04545;2.26330;148.79082;0.97107;2.02315
Im002;0;0-69;0;69;0.00000;368.40489;4.20654;116.15025;0.95402;3.86554
Im002;0;0-70;0;70;0.00000;360.67407;4.62948;108.41944;1.03962;4.01492
Im002;0;0-71;0;71;0.00000;348.04324;2.11470;95.78861;0.83162;2.20696
Im002;0;0-72;0;72;0.00000;284.99085;3.74931;32.73622;0.96625;3.55915
Im002;0;0-73;0;73;0.00000;301.06312;3.44068;48.80849;0.94011;3.27868
Im002;0;0-74;0;74;0.00000;442.19212;2.32046;189.93748;0.98103;2.07687
Im002;0;0-75;0;75;0.00000;525.75887;3.22349;273.50423;0.91098;3.08786
Im002;0;0-76;0;76;0.00000;346.84384;3.80646;94.58921;0.88380;3.76660
Im002;0;0-77;0;77;0.00000;333.91039;3.18920;81.65576;0.95858;2.96561
Im002;0;0-78;0;78;0.00000;391.63522;1.81750;139.38058;0.80830;1.89403
Im002;0;0-79;0;79;0.00000;309.41333;2.57193;57.15870;0.80334;2.72663
Im002;0;0-80;0;80;0.00000;310.81863;2.33189;58.56399;0.99695;2.04463
Im002;0;0-81;0;81;0.00000;360.57674;2.45763;108.32211;0.96739;2.18637
Im002;0;0-82;0;82;0.00000;361.56250;3.84075;109.30786;0.96583;3.45114
Im002;0;0-83;0;83;0.00000;477.21853;4.81237;224.96389;1.11289;3.87030
Im002;0;0-84;0;84;0.00000;318.80347;1.97753;66.54883;0.94154;1.86882
Im002;0;0-85;0;85;0.00000;346.86036;2.53764;94.60572;0.99401;2.36489
Im002;0;0-86;0;86;0.00000;385.61893;4.46945;133.36429;0.87450;4.51161
Im002;0;0-87;0;87;0.00000;302.49704;3.86362;50.24240;0.94119;3.58510
Im002;0;0-88;0;88;0.00000;298.03857;4.14939;45.78393;0.95319;3.82360
Im002;0;0-89;0;89;0.00000;362.21053;2.38904;109.95589;0.83067;2.42353
Im002;0;0-90;0;90;0.00000;362.93689;2.35475;110.68226;1.06272;2.04607
Im002;0;0-91;0;91;0.00000;373.69953;2.43476;121.44489;1.00911;2.16490
Im002;0;0-92;0;92;0.00000;303.69602;4.02365;51.44139;0.95901;3.67873
Im002;0;0-93;0;93;0.00000;471.23529;4.08080;218.98066;0.98653;3.65736
Im002;0;0-94;0;94;0.00000;369.41341;2.04612;117.15877;0.84179;2.00024
Im002;0;0-95;0;95;0.00000;396.47482;3.17777;144.22018;1.06074;2.72008
Im002;0;0-96;0;96;0.00000;351.75000;4.34371;99.49536;0.96037;4.02617
Im002;0;0-97;0;97;0.00000;328.61929;2.25187;76.36465;0.99546;1.98175
Im002;0;0-98;0;98;0.00000;313.95333;3.42924;61.69870;0.92201;3.23676
Im002;0;0-99;0;99;0.00000;364.63370;3.12061;112.37906;1.00143;2.80101
Im002;0;0-100;0;100;0.00000;318.63248;2.67481;66.37784;0.87742;2.61620
Im002;0;0-101;0;101;0.00000;378.73973;2.50335;126.48509;0.84700;2.49617
Im002;0;0-102;0;102;0.00000;565.19841;2.88057;312.94378;0.98514;2.68667
Im002;0;0-103;0;103;0.00000;359.33110;3.41781;107.07647;0.97017;3.19111
Im002;0;0-104;0;104;0.00000;354.86863;4.26369;102.61400;0.97616;3.86141
Im002;0;0-105;0;105;0.00000;399.73253;5.72684;147.47790;1.05080;4.98534
Im002;0;0-106;0;106;0.00000;381.93080;3.30351;129.67616;1.02567;2.88645
Im002;0;0-107;0;107;0.00000;308.10423;4.05794;55.84959;0.91652;3.81832
Im002;0;0-108;0;108;0.00000;369.29787;2.68624;117.04324;0.99392;2.37288
Im002;0;0-109;0;109;0.00000;431.14833;2.38904;178.89369;0.86760;2.24871
Im002;0;0-110;0;110;0.00000;338.87398;2.81198;86.61935;0.92368;2.64358
Im002;0;0-111;0;111;0.00000;445.14719;2.64052;192.89255;0.99836;2.44027
Im002;0;0-112;0;112;0.00000;383.73585;4.24083;131.48121;1.02608;3.65408
Im002;0;0-113;0;113;0.00000;379.25407;3.50926;126.99943;0.98780;3.11252
Im002;0;0-114;0;114;0.00000;428.82796;2.12613;176.57332;0.92303;2.00727
Im002;0;0-115;0;115;0.00000;300.70157;2.18329;48.44693;0.82612;2.18962
Im002;0;0-116;0;116;0.00000;311.85756;3.93220;59.60292;0.93171;3.56375
Im002;0;0-117;0;117;0.00000;416.25630;2.72053;164.00167;0.98280;2.42816
Im002;0;0-118;0;118;0.00000;399.57194;3.17777;147.31731;0.94287;3.02971
Im002;0;0-119;0;119;0.00000;309.06566;2.26330;56.81102;0.88724;2.20934
Im002;0;0-120;0;120;0.00000;409.11111;3.39495;156.85647;1.00403;3.00161
Im002;0;0-121;0;121;0.00000;324.49020;3.49783;72.23556;1.03294;2.98322
Im002;0;0-122;0;122;0.00000;415.40367;2.49192;163.14903;0.84865;2.43542
Im002;0;0-123;0;123;0.00000;519.65241;2.13756;267.39777;0.95124;1.94830
Im002;0;0-124;0;124;0.00000;394.32243;2.44619;142.06779;0.91643;2.29986
Im002;0;0-125;0;125;0.00000;337.45638;3.40638;85.20174;0.91492;3.29111
Im002;0;0-126;0;126;0.00000;332.21538;2.97201;79.96075;1.00401;2.68756
Im002;0;0-127;0;127;0.00000;350.44072;4.43516;98.18608;0.92063;4.30756
Im002;0;0-128;0;128;0.00000;328.72760;3.18920;76.47296;0.97382;2.96532
Im002;0;0-129;0;129;0.00000;451.50000;1.85179;199.24536;0.85115;1.78548
Im002;0;0-130;0;130;0.00000;388.41343;3.23492;136.15879;0.93050;3.09674
Im002;0;0-131;0;131;0.00000;360.97491;3.18920;108.72027;0.89048;3.04637
Im002;0;0-132;0;132;0.00000;399.44706;2.91486;147.19242;0.90428;2.83758
Im002;0;0-133;0;133;0.00000;415.50427;2.67481;163.24964;1.10333;2.24786
Im002;0;0-134;0;134;0.00000;341.35529;5.72684;89.10065;1.02376;5.06855
Im002;0;0-135;0;135;0.00000;343.79264;3.41781;91.53801;1.09947;2.87540
Im002;0;0-136;0;136;0.00000;346.22426;3.10918;93.96963;0.99661;2.85722
Im002;0;0-137;0;137;0.00000;327.53333;2.91486;75.27870;0.94991;2.86206
Im002;0;0-138;0;138;0.00000;366.92547;1.84036;114.67083;0.76594;2.02867
Im002;0;0-139;0;139;0.00000;341.43333;2.74340;89.17870;0.96664;2.47241
Im002;0;0-140;0;140;0.00000;340.08442;3.52069;87.82978;1.03215;3.14335
Im002;0;0-141;0;141;0.00000;411.86730;2.41190;159.61266;0.98469;2.14589
Im002;0;0-142;0;142;0.00000;470.34940;2.84627;218.09476;1.00850;2.48964
Im002;0;0-143;0;143;0.00000;305.97571;2.82341;53.72107;0.98152;2.61234
Im002;0;0-144;0;144;0.00000;336.62691;3.73788;84.37227;0.96814;3.45964
Im002;0;0-145;0;145;0.00000;349.53247;3.52069;97.27783;0.84534;3.65139
Im002;0;0-146;0;146;0.00000;358.35331;3.62357;106.09868;0.92884;3.39625
Im002;0;0-147;0;147;0.00000;426.84459;1.69176;174.58996;0.81729;1.76153
Im002;0;0-148;0;148;0.00000;336.82353;2.13756;84.56889;0.82559;2.22067
Im002;0;0-149;0;149;0.00000;334.07055;3.72645;81.81592;0.96678;3.47457
Im002;0;0-150;0;150;0.00000;370.61786;3.20063;118.36322;0.92641;3.10989
Im002;0;0-151;0;151;0.00000;379.26667;2.57193;127.01203;0.90446;2.53969
Im002;0;0-152;0;152;0.00000;376.91635;3.00630;124.66171;0.99653;2.66397
Im002;0;0-153;0;153;0.00000;332.08696;1.84036;79.83232;0.82101;1.87585
Im002;0;0-154;0;154;0.00000;584.80097;2.35475;332.54633;0.98184;2.12671
Im002;0;0-155;0;155;0.00000;295.07407;2.16042;42.81944;0.85376;2.16239
Im002;0;0-156;0;156;0.00000;419.44382;2.03469;167.18918;0.84664;1.95358
Im002;0;0-157;0;157;0.00000;384.82589;2.56050;132.57126;0.89416;2.55704
Im002;0;0-158;0;158;0.00000;335.81377;2.82341;83.55913;0.85774;2.83533
Im002;0;0-159;0;159;0.00000;353.28502;2.36618;101.03039;0.95830;2.17455
