Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Filtered_intensity;Raw_intensity
Im004;0;0-75-0;0;0;0.00000;3.64231;-5.40092e-02;3.83647;0.70389;0-75-0;10;10;0-75;false;false;NA;1-75-0;9.54161e+03;4.97644e+03
Im004;0;0-92-0;0;0;0.00000;1.35357;-0.27344;1.70090;0.78420;0-92-0;14;14;0-92;false;false;NA;1-92-0;1.03243e+04;6.00878e+03
Im004;0;1-22-0;1;0;7.94600e+03;0.59169;6.43377e-02;5.45989;0.85973;1-22-0;1;1;0-22;false;false;NA;NA;5.53772e+03;4.26833e+03
Im004;0;1-27-0;1;0;7.94600e+03;0.69881;-0.34241;4.92055;0.81452;1-27-0;1;1;0-27;false;false;NA;NA;5.09380e+03;4.22342e+03
Im004;0;1-75-0;1;0;7.94600e+03;3.63006;-2.87965e-02;3.83647;0.72221;0-75-0;10;10;0-75;false;false;0-75-0;2-75-0;8.60211e+03;4.57756e+03
Im004;0;1-92-0;1;0;7.94600e+03;1.35357;-0.22824;1.70090;0.78420;0-92-0;14;14;0-92;false;false;0-92-0;2-92-0;9.41479e+03;5.40522e+03
Im004;0;2-38-0;2;0;7.91900e+03;0.13115;-1.74574e-02;3.82735;0.45259;2-38-0;1;1;0-38;false;false;NA;NA;6.48597e+03;5.40378e+03
Im004;0;2-75-0;2;0;7.91900e+03;3.63289;-6.07099e-03;3.83647;0.71798;0-75-0;10;10;0-75;false;false;1-75-0;3-75-0;9.84175e+03;5.14022e+03
Im004;0;2-92-0;2;0;7.91900e+03;1.34689;-0.22714;1.70090;0.78596;0-92-0;14;14;0-92;false;false;1-92-0;3-92-0;1.06408e+04;5.88011e+03
Im004;0;3-75-0;3;0;6.00000;3.63112;-1.75715e-03;3.83647;0.72064;0-75-0;10;10;0-75;false;false;2-75-0;4-75-0;9.56824e+03;5.02889e+03
Im004;0;3-84-0;3;0;6.00000;2.87262;-0.33552;4.12983;0.90640;3-84-0;8;8;0-84;false;false;NA;4-84-0;4.79736e+03;4.01700e+03
Im004;0;3-88-0;3;0;6.00000;1.07710;0.26865;1.81994;0.74041;3-88-0;1;1;0-88;false;false;NA;NA;9.47102e+03;5.61744e+03
Im004;0;3-92-0;3;0;6.00000;1.35190;-0.22861;1.70090;0.78464;0-92-0;14;14;0-92;false;false;2-92-0;4-92-0;1.35729e+04;6.89422e+03
Im004;0;4-75-0;4;0;8.00000;3.63974;-2.12984e-02;3.83647;0.70774;0-75-0;10;10;0-75;false;false;3-75-0;5-75-0;9.52686e+03;5.15822e+03
Im004;0;4-84-0;4;0;8.00000;2.85405;-0.34513;4.12983;0.90680;3-84-0;8;8;0-84;false;false;3-84-0;5-84-0;5.09769e+03;3.92100e+03
Im004;0;4-92-0;4;0;8.00000;1.34856;-0.21159;1.70090;0.78552;0-92-0;14;14;0-92;false;false;3-92-0;5-92-0;1.16348e+04;6.00311e+03
Im004;0;5-24-0;5;0;10.00000;0.39864;8.34305e-02;3.43770;0.80930;5-24-0;1;1;0-24;false;false;NA;NA;6.32716e+03;5.19300e+03
Im004;0;5-75-0;5;0;10.00000;3.63018;-5.82824e-02;3.83647;0.72204;0-75-0;10;10;0-75;false;false;4-75-0;6-75-0;9.13205e+03;4.90478e+03
Im004;0;5-84-0;5;0;10.00000;2.87836;-0.36412;4.12983;0.90628;3-84-0;8;8;0-84;false;false;4-84-0;6-84-0;5.96647e+03;4.32889e+03
Im004;0;5-92-0;5;0;10.00000;1.35691;-0.22025;1.70090;0.78332;0-92-0;14;14;0-92;false;false;4-92-0;6-92-0;1.30887e+04;7.04467e+03
Im004;0;6-31-0;6;0;12.00000;3.07202;0.31196;4.24659;0.73437;6-31-0;1;1;0-31;false;false;NA;NA;6.90527e+03;4.94214e+03
Im004;0;6-75-0;6;0;12.00000;3.62024;-5.52416e-02;3.83647;0.73692;0-75-0;10;10;0-75;false;false;5-75-0;7-75-0;8.03539e+03;4.61333e+03
Im004;0;6-84-0;6;0;12.00000;2.89278;-0.37275;4.12983;0.90597;3-84-0;8;8;0-84;false;false;5-84-0;7-84-1;6.19343e+03;4.10013e+03
Im004;0;6-92-0;6;0;12.00000;1.33853;-0.21810;1.70090;0.78816;0-92-0;14;14;0-92;false;false;5-92-0;7-92-0;1.07052e+04;5.73011e+03
