Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity;ParentNucleoidIndices;DistCC_oc3
Im002;0;0-2-0;0;0;0.00000;2.03834;4.87932e-02;2.74890;0.86868;0-2-0;1;1;0-2;false;false;NA;NA;4.43278e+03;0-2-0;0.62870
Im002;0;1-12-0;1;0;2.00000;0.65496;-0.31162;2.53574;0.77480;1-12-0;5;5;0-12;false;false;NA;2-12-0;7.06211e+03;1-12-0;0.72524
Im002;0;2-12-0;2;0;4.00000;0.67076;-0.30631;2.53574;0.77978;1-12-0;5;5;0-12;false;false;1-12-0;3-12-0;7.51644e+03;2-12-0;0.70860
Im002;0;3-12-0;3;0;6.00000;0.66845;-0.26168;2.53574;0.77902;1-12-0;5;5;0-12;false;false;2-12-0;4-12-0;8.24278e+03;3-12-0;0.69721
Im002;0;3-15-0;3;0;6.00000;0.10901;3.38950e-02;2.20801;0.53317;3-15-0;6;6;0-15;false;false;NA;4-15-0;6.28078e+03;3-15-0;0.84854
Im002;0;4-12-0;4;0;8.00000;0.64310;-0.26932;2.53574;0.77108;1-12-0;5;5;0-12;false;false;3-12-0;5-12-0;7.80700e+03;4-12-0;0.72284
Im002;0;4-15-0;4;0;8.00000;0.12775;5.24130e-02;2.20801;0.55791;3-15-0;6;6;0-15;false;false;3-15-0;5-15-0;6.33422e+03;4-15-0;0.83286
Im002;0;5-12-0;5;0;10.00000;0.61461;-0.27127;2.53574;0.76216;1-12-0;5;5;0-12;false;false;4-12-0;NA;8.03250e+03;5-12-0;0.74979
Im002;0;5-15-0;5;0;10.00000;0.12471;5.24666e-02;2.20801;0.55390;3-15-0;6;6;0-15;false;false;4-15-0;6-15-0;6.07122e+03;5-15-0;0.83594
Im002;0;6-15-0;6;0;12.00000;0.14077;7.25045e-02;2.20801;0.57191;3-15-0;6;6;0-15;false;false;5-15-0;7-15-0;6.61078e+03;6-15-0;0.82376
Im002;0;7-15-0;7;0;14.00000;0.13690;1.68571e-02;2.20801;0.56910;3-15-0;6;6;0-15;false;false;6-15-0;8-15-0;5.99122e+03;7-15-0;0.81814
Im002;0;8-6-0;8;0;16.00000;3.14544;-0.24652;3.95574;0.88561;8-6-0;1;1;0-6;false;false;NA;NA;5.90311e+03;8-6-0;1.20584
Im002;0;8-8-0;8;0;16.00000;0.32440;-9.86841e-02;2.31405;0.70275;8-8-0;2;2;0-8;false;false;NA;9-8-0;5.41589e+03;8-8-0;0.75011
Im002;0;8-13-0;8;0;16.00000;2.73740;-0.24604;2.79707;0.56816;8-13-0;1;1;0-13;false;false;NA;NA;5.47613e+03;NA;0.83054
Im002;0;8-15-0;8;0;16.00000;0.14211;3.39635e-02;2.20801;0.57288;3-15-0;6;6;0-15;false;false;7-15-0;NA;5.85089e+03;8-15-0;0.81554
Im002;0;9-0-0;9;0;18.00000;2.07851;0.26497;2.60799;0.87770;9-0-0;1;1;0-0;false;false;NA;NA;5.78856e+03;9-0-0;0.78865
Im002;0;9-6-0;9;0;18.00000;2.51050;-0.35335;3.95574;0.86445;9-6-0;1;1;0-6;false;false;NA;NA;5.81178e+03;9-6-0;0.63216
Im002;0;9-8-0;9;0;18.00000;0.27423;-0.16421;2.31405;0.67901;8-8-0;2;2;0-8;false;false;8-8-0;NA;5.34122e+03;9-8-0;0.79748
Im002;0;10-2-0;10;0;20.00000;0.36729;-5.03170e-02;2.74890;0.75440;10-2-0;5;5;0-2;false;false;NA;11-2-0;5.41122e+03;10-2-0;1.05327
Im002;0;11-2-0;11;0;22.00000;0.63800;-0.18974;2.74890;0.85994;10-2-0;5;5;0-2;false;false;10-2-0;12-2-0;5.41533e+03;11-2-0;0.81045
Im002;0;11-12-0;11;0;22.00000;0.77403;-0.14374;2.53574;0.81364;11-12-0;5;5;0-12;false;false;NA;12-12-0;8.79378e+03;11-12-0;0.56802
Im002;0;12-2-0;12;0;24.00000;0.51704;-0.15200;2.74890;0.83036;10-2-0;5;5;0-2;false;false;11-2-0;13-2-0;5.43733e+03;12-2-0;0.91812
Im002;0;12-12-0;12;0;24.00000;0.78474;-0.10095;2.53574;0.81601;11-12-0;5;5;0-12;false;false;11-12-0;13-12-0;8.22200e+03;12-12-0;0.55322
Im002;0;12-16-0;12;0;24.00000;3.02393;-0.30623;4.85990;0.78244;12-16-0;1;1;0-16;false;false;NA;NA;5.36363e+03;NA;1.08564
Im002;0;13-2-0;13;0;26.00000;0.53771;-0.17146;2.74890;0.83741;10-2-0;5;5;0-2;false;false;12-2-0;14-2-0;4.98800e+03;13-2-0;0.90268
Im002;0;13-6-0;13;0;26.00000;3.13201;-0.30372;3.95574;0.88617;13-6-0;1;1;0-6;false;false;NA;NA;5.61589e+03;13-6-0;1.19658
Im002;0;13-12-0;13;0;26.00000;0.78201;-8.21520e-02;2.53574;0.81541;11-12-0;5;5;0-12;false;false;12-12-0;14-12-0;7.50889e+03;13-12-0;0.55490
Im002;0;13-15-0;13;0;26.00000;0.13524;4.46053e-02;2.20801;0.56781;13-15-0;2;2;0-15;false;false;NA;14-15-0;6.18122e+03;13-15-0;0.82395
Im002;0;14-2-0;14;0;28.00000;0.64885;-0.11336;2.74890;0.86225;10-2-0;5;5;0-2;false;false;13-2-0;NA;5.53756e+03;14-2-0;0.78236
Im002;0;14-12-0;14;0;28.00000;0.77642;-8.43209e-02;2.53574;0.81417;11-12-0;5;5;0-12;false;false;13-12-0;15-12-0;7.12767e+03;14-12-0;0.56046
Im002;0;14-15-0;14;0;28.00000;0.10711;8.26307e-02;2.20801;0.53066;13-15-0;2;2;0-15;false;false;13-15-0;NA;6.57467e+03;14-15-0;0.85988
Im002;0;15-12-0;15;0;30.00000;0.76894;-8.27669e-02;2.53574;0.81252;11-12-0;5;5;0-12;false;false;14-12-0;NA;7.06067e+03;15-12-0;0.56771
Im002;0;15-16-0;15;0;30.00000;2.88485;-3.92228e-02;4.85990;0.74926;15-16-0;2;2;0-16;false;false;NA;16-16-0;5.72033e+03;NA;0.82279
