Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Filtered_intensity;Raw_intensity
Im010;0;0-2-0;0;0;0.00000;0.44215;0.19357;3.83001;0.85367;0-2-0;12;12;0-2;false;false;NA;1-2-0;7.51463e+03;4.43167e+03
Im010;0;0-16-0;0;0;0.00000;0.43629;-0.39317;1.53781;0.88589;0-16-0;4;4;0-16;false;false;NA;1-16-0;9.23094e+03;5.31250e+03
Im010;0;0-18-0;0;0;0.00000;0.63814;-0.29371;1.97770;0.85422;0-18-0;25;25;0-18;false;false;NA;1-18-0;1.34177e+04;6.42089e+03
Im010;0;0-22-0;0;0;0.00000;3.33822;0.11564;3.25898;0.46068;0-22-0;6;6;0-22;false;false;NA;1-22-0;4.33259e+03;3.92763e+03
Im010;0;0-31-0;0;0;0.00000;0.61589;0.40067;3.27488;0.86680;0-31-0;1;1;0-31;false;false;NA;NA;8.74022e+03;6.01214e+03
Im010;0;0-45-0;0;0;0.00000;0.19784;0.28849;2.72792;0.66550;0-45-0;2;2;0-45;false;false;NA;1-45-0;6.20831e+03;4.15113e+03
Im010;0;0-49-0;0;0;0.00000;0.86188;0.43618;2.60029;0.96121;0-49-0;9;9;0-49;false;false;NA;1-49-0;7.57973e+03;4.48186e+03
Im010;0;0-52-0;0;0;0.00000;0.66119;0.17078;2.05461;0.96334;0-52-0;37;37;0-52;false;false;NA;1-52-0;8.02228e+03;4.27644e+03
Im010;0;1-2-0;1;0;7.05500e+03;0.45438;0.20427;3.83001;0.85830;0-2-0;12;12;0-2;false;false;0-2-0;2-2-0;6.72825e+03;4.07822e+03
Im010;0;1-14-0;1;0;7.05500e+03;1.26052;0.25488;2.04975;0.73534;1-14-0;17;17;0-14;false;false;NA;2-14-0;1.56742e+04;7.34633e+03
Im010;0;1-16-0;1;0;7.05500e+03;0.43186;-0.46448;1.53781;0.88443;0-16-0;4;4;0-16;false;false;0-16-0;2-16-0;1.05961e+04;5.35888e+03
Im010;0;1-18-0;1;0;7.05500e+03;0.62205;-0.34574;1.97770;0.84802;0-18-0;25;25;0-18;false;false;0-18-0;2-18-0;1.57414e+04;6.34938e+03
Im010;0;1-22-0;1;0;7.05500e+03;3.33822;0.11564;3.25898;0.46068;0-22-0;6;6;0-22;false;false;0-22-0;2-22-0;5.24298e+03;4.25263e+03
Im010;0;1-24-0;1;0;7.05500e+03;0.59770;-0.20972;2.90628;0.87521;1-24-0;2;2;0-24;false;false;NA;2-24-0;3.69899e+03;3.55556e+03
Im010;0;1-45-0;1;0;7.05500e+03;0.19203;0.29524;2.72792;0.66248;0-45-0;2;2;0-45;false;false;0-45-0;NA;5.77056e+03;4.12263e+03
Im010;0;1-49-0;1;0;7.05500e+03;0.85854;0.43865;2.60029;0.96125;0-49-0;9;9;0-49;false;false;0-49-0;2-49-0;7.38663e+03;4.28271e+03
Im010;0;1-52-0;1;0;7.05500e+03;0.66630;0.15900;2.05461;0.96472;0-52-0;37;37;0-52;false;false;0-52-0;2-52-0;7.44824e+03;4.24400e+03
Im010;0;2-2-0;2;0;7.01500e+03;0.42444;0.23972;3.83001;0.84705;0-2-0;12;12;0-2;false;false;1-2-0;3-2-0;1.02928e+04;5.39811e+03
Im010;0;2-14-0;2;0;7.01500e+03;1.30284;0.28646;2.04975;0.73336;1-14-0;17;17;0-14;false;false;1-14-0;3-14-0;1.81679e+04;8.43811e+03
Im010;0;2-16-0;2;0;7.01500e+03;0.42619;-0.49348;1.53781;0.88148;0-16-0;4;4;0-16;false;false;1-16-0;3-16-0;1.20345e+04;6.11825e+03
Im010;0;2-18-0;2;0;7.01500e+03;0.59634;-0.31300;1.97770;0.83811;0-18-0;25;25;0-18;false;false;1-18-0;3-18-0;1.53734e+04;7.73156e+03
Im010;0;2-22-0;2;0;7.01500e+03;3.33822;0.11564;3.25898;0.46068;0-22-0;6;6;0-22;false;false;1-22-0;3-22-0;6.05502e+03;4.90588e+03
Im010;0;2-24-0;2;0;7.01500e+03;0.54026;-0.20252;2.90628;0.86985;1-24-0;2;2;0-24;false;false;1-24-0;NA;4.85701e+03;4.32033e+03
Im010;0;2-36-0;2;0;7.01500e+03;0.47953;4.92239e-02;2.67497;0.86579;2-36-0;1;1;0-36;false;false;NA;NA;9.10585e+03;5.98089e+03
Im010;0;2-49-0;2;0;7.01500e+03;0.87161;0.45299;2.60029;0.96112;0-49-0;9;9;0-49;false;false;1-49-0;3-49-0;8.21788e+03;5.20514e+03
Im010;0;2-52-0;2;0;7.01500e+03;0.64991;0.14242;2.05461;0.96029;0-52-0;37;37;0-52;false;false;1-52-0;3-52-0;9.21596e+03;4.92311e+03
Im010;0;3-2-0;3;0;6.00000;0.38779;0.22007;3.83001;0.82899;0-2-0;12;12;0-2;false;false;2-2-0;4-2-0;8.14533e+03;4.72200e+03
Im010;0;3-14-0;3;0;6.00000;1.33968;0.26619;2.04975;0.73146;1-14-0;17;17;0-14;false;false;2-14-0;4-14-0;1.36928e+04;6.78856e+03
Im010;0;3-16-0;3;0;6.00000;0.42704;-0.49134;1.53781;0.88201;0-16-0;4;4;0-16;false;false;2-16-0;NA;1.09086e+04;5.82325e+03
Im010;0;3-18-0;3;0;6.00000;0.60721;-0.32260;1.97770;0.84230;0-18-0;25;25;0-18;false;false;2-18-0;4-18-0;1.34561e+04;6.89878e+03
Im010;0;3-22-0;3;0;6.00000;3.33822;0.11564;3.25898;0.46068;0-22-0;6;6;0-22;false;false;2-22-0;4-22-0;5.80794e+03;4.72188e+03
Im010;0;3-36-0;3;0;6.00000;0.26823;-0.32749;2.67497;0.76305;3-36-0;3;3;0-36;false;false;NA;4-36-0;5.52974e+03;4.41975e+03
Im010;0;3-41-0;3;0;6.00000;3.02696;-0.17262;3.04175;0.32292;3-41-0;1;1;0-41;false;false;NA;NA;9.04904e+03;5.46525e+03
Im010;0;3-45-0;3;0;6.00000;0.19246;0.28011;2.72792;0.66270;3-45-0;2;2;0-45;false;false;NA;4-45-0;5.33131e+03;4.09025e+03
Im010;0;3-49-0;3;0;6.00000;0.79140;0.44560;2.60029;0.95879;0-49-0;9;9;0-49;false;false;2-49-0;4-49-0;8.79151e+03;5.35429e+03
Im010;0;3-52-0;3;0;6.00000;0.64835;0.13498;2.05461;0.95987;0-52-0;37;37;0-52;false;false;2-52-0;4-52-0;8.45765e+03;4.59978e+03
Im010;0;4-2-0;4;0;8.00000;0.35632;0.17734;3.83001;0.80801;0-2-0;12;12;0-2;false;false;3-2-0;5-2-0;7.12360e+03;4.40789e+03
Im010;0;4-14-0;4;0;8.00000;1.33904;0.25484;2.04975;0.73149;1-14-0;17;17;0-14;false;false;3-14-0;5-14-0;2.02909e+04;8.31122e+03
Im010;0;4-18-0;4;0;8.00000;0.61975;-0.36787;1.97770;0.84713;0-18-0;25;25;0-18;false;false;3-18-0;5-18-0;1.63414e+04;7.28988e+03
