Position;PositionIdx;Indices;Frame;Idx;Time;RecBIntensity;Area;SNR;SpotCount;SpineWidth;SpineLength;BacteriaLineage;NextDivisionFrame;PreviousDivisionFrame
Im001;0;0-43;0;43;1.70930e+12;5.74067e+03;2.40047;1.37098e+03;0;0.65666;2.99386;V1;NA;NA
Im001;0;0-44;0;44;1.70930e+12;5.39530e+03;3.58928;1.02560e+03;0;0.83604;3.79788;W1;NA;NA
Im001;0;0-45;0;45;1.70930e+12;6.56006e+03;4.20654;2.19036e+03;0;0.78406;4.78271;X1;NA;NA
Im001;0;0-46;0;46;1.70930e+12;4.89879e+03;3.07489;529.09322;0;0.93083;2.97920;Y1;NA;NA
Im001;0;0-47;0;47;1.70930e+12;5.27197e+03;1.81750;902.27996;0;0.76490;1.95823;Z1;NA;NA
Im001;0;0-48;0;48;1.70930e+12;6.34864e+03;1.93181;1.97895e+03;0;0.72409;2.24467;A2;NA;NA
Im001;0;0-49;0;49;1.70930e+12;4.60753e+03;3.13204;237.83431;0;0.85608;3.32148;B2;NA;NA
Im001;0;0-50;0;50;1.70930e+12;5.52933e+03;2.44619;1.15963e+03;0;0.79830;2.72732;C2;NA;NA
Im001;0;0-51;0;51;1.70930e+12;5.20804e+03;2.06898;838.34379;0;0.78172;2.30279;D2;NA;NA
Im001;0;0-52;0;52;1.70930e+12;4.90232e+03;3.10918;532.62129;0;0.88117;3.10775;E2;NA;NA
Im001;0;0-53;0;53;1.70930e+12;4.71424e+03;3.17777;344.54612;0;0.81356;3.48007;F2;NA;NA
Im001;0;0-54;0;54;1.70930e+12;4.53653e+03;1.86322;166.83886;0;0.82954;1.90889;G2;NA;NA
Im001;0;0-55;0;55;1.70930e+12;4.98991e+03;2.86913;620.21747;0;0.88013;2.85521;I2;NA;NA
Im001;0;0-56;0;56;1.70930e+12;5.50913e+03;2.41190;1.13944e+03;0;0.78699;2.62911;J2;NA;NA
Im001;0;0-57;0;57;1.70930e+12;5.32101e+03;2.52621;951.31869;0;0.88937;2.49956;K2;NA;NA
Im001;0;0-58;0;58;1.70930e+12;4.89131e+03;2.34332;521.61731;0;0.87413;2.32651;L2;NA;NA
Im001;0;0-59;0;59;1.70930e+12;5.24104e+03;2.33189;871.34433;0;0.84490;2.37974;M2;NA;NA
Im001;0;0-60;0;60;1.70930e+12;5.30099e+03;3.31494;931.29822;0;0.69260;4.02166;N2;NA;NA
Im001;0;0-61;0;61;1.70930e+12;5.64391e+03;3.26921;1.27421e+03;0;0.87592;3.40548;O2;NA;NA
Im001;0;0-62;0;62;1.70930e+12;5.86802e+03;2.08041;1.49832e+03;0;0.77995;2.28750;P2;NA;NA
Im001;0;1-0;1;0;0.00000;5.27497e+03;3.45211;905.51033;0;0.88446;3.50254;A;NA;NA
Im001;0;1-1;1;1;0.00000;5.17886e+03;3.21206;809.40134;0;0.91838;3.20686;B;NA;NA
Im001;0;1-2;1;2;0.00000;5.55155e+03;2.88057;1.18209e+03;0;0.73073;3.40549;C;NA;NA
Im001;0;1-3;1;3;0.00000;5.18941e+03;1.87465;819.94867;0;0.92928;1.81315;D;NA;NA
Im001;0;1-4;1;4;0.00000;5.66985e+03;3.05203;1.30039e+03;0;0.80342;3.36433;E;NA;NA
Im001;0;1-5;1;5;0.00000;5.92045e+03;2.51478;1.55099e+03;0;0.86087;2.55619;F;NA;NA
Im001;0;1-6;1;6;0.00000;6.17302e+03;2.34332;1.80356e+03;0;0.86760;2.34173;G;NA;NA
Im001;0;1-7;1;7;0.00000;5.05763e+03;2.32046;688.17067;0;0.89839;2.27554;I;NA;NA
Im001;0;1-8;1;8;0.00000;5.36551e+03;3.22349;996.04722;0;0.74608;3.75065;J;NA;NA
Im001;0;1-9;1;9;0.00000;5.70724e+03;2.42333;1.33778e+03;0;0.73193;2.75102;K;NA;NA
Im001;0;1-10;1;10;0.00000;6.00842e+03;3.00630;1.63896e+03;0;0.90826;3.02443;L;NA;NA
Im001;0;1-11;1;11;0.00000;6.34904e+03;2.27473;1.97958e+03;0;0.89535;2.25687;M;NA;NA
Im001;0;1-12;1;12;0.00000;5.36008e+03;3.48640;990.61882;0;0.88602;3.49081;N;NA;NA
Im001;0;1-13;1;13;0.00000;5.64566e+03;3.79503;1.27620e+03;0;0.89348;3.82633;O;NA;NA
Im001;0;1-14;1;14;0.00000;5.32440e+03;3.73788;954.93768;0;0.88520;3.79232;P;NA;NA
Im001;0;1-15;1;15;0.00000;5.69463e+03;2.72053;1.32517e+03;0;0.81058;2.98711;Q;NA;NA
Im001;0;1-16;1;16;0.00000;5.53794e+03;1.90895;1.16848e+03;0;0.74232;2.17745;R;NA;NA
Im001;0;1-17;1;17;0.00000;5.89121e+03;2.49192;1.52175e+03;0;0.82011;2.63784;S;NA;NA
Im001;0;1-18;1;18;0.00000;5.69753e+03;3.17777;1.32807e+03;0;0.77686;3.59991;U;NA;NA
Im001;0;1-19;1;19;0.00000;6.29524e+03;3.49783;1.92578e+03;1;0.82495;3.77550;V;NA;NA
