Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity
Im001;0;0-0-0;0;0;0.00000;2.51357;-0.34255;3.50254;0.93389;0-0-0;1;1;0-0;false;false;NA;NA;5.95522e+03
Im001;0;0-18-0;0;0;0.00000;3.54688;-7.46654e-02;3.59991;0.50692;0-18-0;1;1;0-18;false;false;NA;NA;6.33244e+03
Im001;0;0-39-0;0;0;0.00000;1.64015;0.36971;3.04229;0.81466;0-39-0;1;1;0-39;false;false;NA;NA;6.14175e+03
Im001;0;1-19-0;1;0;8.68400e+03;0.20776;-0.18278;3.77550;0.66133;1-19-0;2;2;0-19;false;false;NA;2-19-0;6.63822e+03
Im001;0;1-53-0;1;0;8.68400e+03;0.23461;0.32826;3.48007;0.66468;1-53-0;2;2;0-53;false;false;NA;2-53-0;5.98629e+03
Im001;0;1-61-0;1;0;8.68400e+03;3.22029;-0.20521;3.40548;0.62607;1-61-0;6;6;0-61;false;false;NA;2-61-0;5.82813e+03
Im001;0;2-8-0;2;0;4.00000;2.95968;-2.44251e-02;3.75065;0.72406;2-8-0;4;4;0-8;false;false;NA;3-8-0;6.80056e+03
Im001;0;2-12-0;2;0;4.00000;1.94383;-9.90350e-02;3.49081;0.92077;2-12-0;1;1;0-12;false;false;NA;NA;6.96622e+03
Im001;0;2-19-0;2;0;4.00000;0.18186;-0.14565;3.77550;0.64410;1-19-0;2;2;0-19;false;false;1-19-0;NA;6.90056e+03
Im001;0;2-51-0;2;0;4.00000;2.10021;8.67399e-02;2.30279;0.63262;2-51-0;2;2;0-51;false;false;NA;3-51-0;6.76967e+03
Im001;0;2-53-0;2;0;4.00000;0.24093;0.29495;3.48007;0.66881;1-53-0;2;2;0-53;false;false;1-53-0;NA;5.85800e+03
Im001;0;2-61-0;2;0;4.00000;3.16933;-0.20255;3.40548;0.66732;1-61-0;6;6;0-61;false;false;1-61-0;3-61-0;6.94056e+03
Im001;0;3-8-0;3;0;6.00000;2.91541;-5.68105e-02;3.75065;0.72933;2-8-0;4;4;0-8;false;false;2-8-0;4-8-0;6.96767e+03
Im001;0;3-12-0;3;0;6.00000;2.52006;-0.21344;3.49081;0.95747;3-12-0;2;2;0-12;false;false;NA;4-12-0;6.95667e+03
Im001;0;3-13-0;3;0;6.00000;2.66639;0.32188;3.82633;0.91606;3-13-0;6;6;0-13;false;false;NA;4-13-0;6.06611e+03
Im001;0;3-14-0;3;0;6.00000;0.19441;-0.37259;3.79232;0.71172;3-14-0;1;1;0-14;false;false;NA;NA;6.72100e+03
Im001;0;3-27-0;3;0;6.00000;0.61629;0.39866;3.98912;0.84535;3-27-0;17;17;0-27;false;false;NA;4-27-0;6.35786e+03
