Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity
Im001;0;1-6-0;1;0;8.53300e+03;2.44729;0.38499;4.22987;0.96829;1-6-0;1;1;0-6;false;false;NA;NA;3.60200e+03
Im001;0;1-12-0;1;0;8.53300e+03;1.40193;0.32146;2.38367;1.01011;1-12-0;1;1;0-12;false;false;NA;NA;4.50356e+03
Im001;0;3-23-0;3;0;6.00000;1.63962;-0.23449;3.68176;1.03219;3-23-0;7;7;0-23;false;false;NA;4-23-0;5.48878e+03
Im001;0;4-17-0;4;0;8.00000;0.77551;0.25703;3.73417;0.91108;4-17-0;3;3;0-17;false;false;NA;5-17-0;4.63556e+03
Im001;0;4-23-0;4;0;8.00000;1.60985;-0.22927;3.68176;1.03850;3-23-0;7;7;0-23;false;false;3-23-0;5-23-0;5.32333e+03
Im001;0;5-17-0;5;0;10.00000;0.77821;0.24934;3.73417;0.91075;4-17-0;3;3;0-17;false;false;4-17-0;6-17-0;4.87756e+03
Im001;0;5-23-0;5;0;10.00000;1.53520;-0.23659;3.68176;1.05366;3-23-0;7;7;0-23;false;false;4-23-0;6-23-0;5.19033e+03
Im001;0;5-40-0;5;0;10.00000;0.45361;-0.29002;2.16221;0.71887;5-40-0;13;13;0-40;false;false;NA;6-40-0;4.48388e+03
Im001;0;6-17-0;6;0;12.00000;0.73958;0.28828;3.73417;0.91566;4-17-0;3;3;0-17;false;false;5-17-0;NA;5.30122e+03
Im001;0;6-23-0;6;0;12.00000;1.53439;-0.21496;3.68176;1.05382;3-23-0;7;7;0-23;false;false;5-23-0;7-23-0;5.32756e+03
Im001;0;6-40-0;6;0;12.00000;0.45236;-0.28811;2.16221;0.71850;5-40-0;13;13;0-40;false;false;5-40-0;7-40-0;4.45775e+03
Im001;0;7-2-0;7;0;14.00000;2.08886;-0.33624;2.40448;0.67652;7-2-0;9;9;0-2;false;false;NA;8-2-0;4.35700e+03
Im001;0;7-23-0;7;0;14.00000;1.56909;-0.21139;3.68176;1.04677;3-23-0;7;7;0-23;false;false;6-23-0;8-23-0;5.36522e+03
Im001;0;7-40-0;7;0;14.00000;0.48751;-0.27676;2.16221;0.72350;5-40-0;13;13;0-40;false;false;6-40-0;8-40-0;4.29838e+03
Im001;0;8-2-0;8;0;16.00000;2.10448;-0.34026;2.40448;0.66864;7-2-0;9;9;0-2;false;false;7-2-0;9-2-0;4.38057e+03
Im001;0;8-14-0;8;0;16.00000;2.95750;-7.41668e-02;2.93158;0.21383;8-14-0;2;2;0-14;false;false;NA;9-14-0;5.01288e+03
Im001;0;8-23-0;8;0;16.00000;1.60344;-0.18747;3.68176;1.03980;3-23-0;7;7;0-23;false;false;7-23-0;9-23-0;4.94878e+03
Im001;0;8-37-0;8;0;16.00000;1.71261;0.41025;2.51939;0.93942;8-37-0;1;1;0-37;false;false;NA;NA;4.82325e+03
Im001;0;8-40-0;8;0;16.00000;0.46148;-0.27924;2.16221;0.72070;5-40-0;13;13;0-40;false;false;7-40-0;9-40-0;4.67675e+03
Im001;0;9-2-0;9;0;18.00000;1.83167;-0.31718;2.40448;0.78428;7-2-0;9;9;0-2;false;false;8-2-0;10-2-0;4.27467e+03
Im001;0;9-14-0;9;0;18.00000;2.70701;-0.21278;2.93158;0.60890;8-14-0;2;2;0-14;false;false;8-14-0;NA;4.52325e+03
Im001;0;9-23-0;9;0;18.00000;1.72149;-0.11443;3.68176;1.01421;3-23-0;7;7;0-23;false;false;8-23-0;NA;5.08111e+03
Im001;0;9-40-0;9;0;18.00000;0.43189;-0.25287;2.16221;0.71244;5-40-0;13;13;0-40;false;false;8-40-0;10-40-0;4.69600e+03
Im001;0;10-2-0;10;0;20.00000;1.79936;-0.33757;2.40448;0.79657;7-2-0;9;9;0-2;false;false;9-2-0;11-2-0;4.33344e+03
Im001;0;10-40-0;10;0;20.00000;0.42813;-0.24429;2.16221;0.71132;5-40-0;13;13;0-40;false;false;9-40-0;11-40-0;4.63611e+03
Im001;0;11-2-0;11;0;22.00000;1.81091;-0.31001;2.40448;0.79198;7-2-0;9;9;0-2;false;false;10-2-0;12-2-0;4.44000e+03
Im001;0;11-13-0;11;0;22.00000;2.43138;-0.16833;2.62678;0.72545;11-13-0;1;1;0-13;false;false;NA;NA;4.53689e+03
Im001;0;11-14-0;11;0;22.00000;2.51165;-0.17407;2.93158;0.78964;11-14-0;7;7;0-14;false;false;NA;12-14-0;4.83011e+03
Im001;0;11-40-0;11;0;22.00000;0.39639;-0.24530;2.16221;0.70192;5-40-0;13;13;0-40;false;false;10-40-0;12-40-0;4.42211e+03
Im001;0;12-2-0;12;0;24.00000;1.81976;-0.31122;2.40448;0.78847;7-2-0;9;9;0-2;false;false;11-2-0;13-2-0;4.47989e+03
Im001;0;12-14-0;12;0;24.00000;2.55829;-0.16387;2.93158;0.73820;11-14-0;7;7;0-14;false;false;11-14-0;13-14-0;4.80850e+03
Im001;0;12-40-0;12;0;24.00000;0.35964;-0.22644;2.16221;0.69104;5-40-0;13;13;0-40;false;false;11-40-0;13-40-0;4.58444e+03
Im001;0;13-2-0;13;0;26.00000;1.83255;-0.32548;2.40448;0.78404;7-2-0;9;9;0-2;false;false;12-2-0;14-2-0;4.68456e+03
Im001;0;13-6-0;13;0;26.00000;3.79095;-0.26322;4.22987;0.84620;13-6-0;2;2;0-6;false;false;NA;14-6-0;4.27122e+03
Im001;0;13-14-0;13;0;26.00000;2.23834;-0.18019;2.93158;0.92107;11-14-0;7;7;0-14;false;false;12-14-0;14-14-0;4.53611e+03
Im001;0;13-40-0;13;0;26.00000;0.29548;-0.18198;2.16221;0.65835;5-40-0;13;13;0-40;false;false;12-40-0;14-40-0;4.78300e+03
Im001;0;14-2-0;14;0;28.00000;1.82649;-0.30905;2.40448;0.78581;7-2-0;9;9;0-2;false;false;13-2-0;15-2-0;4.41011e+03
Im001;0;14-6-0;14;0;28.00000;4.11239;-9.17615e-02;4.22987;0.56943;13-6-0;2;2;0-6;false;false;13-6-0;NA;4.43522e+03
Im001;0;14-14-0;14;0;28.00000;2.28080;-0.21242;2.93158;0.90042;11-14-0;7;7;0-14;false;false;13-14-0;15-14-0;4.41800e+03
Im001;0;14-17-0;14;0;28.00000;0.67243;0.29456;3.73417;0.92933;14-17-0;5;5;0-17;false;false;NA;15-17-0;4.70289e+03
Im001;0;14-40-0;14;0;28.00000;0.28286;-0.16526;2.16221;0.65158;5-40-0;13;13;0-40;false;false;13-40-0;15-40-0;4.62922e+03
Im001;0;15-2-0;15;0;30.00000;1.70725;-6.43771e-02;2.40448;0.83183;7-2-0;9;9;0-2;false;false;14-2-0;NA;4.06411e+03
Im001;0;15-13-0;15;0;30.00000;1.57050;0.50540;2.62678;1.00508;14-13-0;2;2;0-13;false;false;14-13-0;NA;5.42600e+03
Im001;0;15-14-0;15;0;30.00000;2.47737;-0.19045;2.93158;0.80172;11-14-0;7;7;0-14;false;false;14-14-0;16-14-0;4.47333e+03
Im001;0;15-17-0;15;0;30.00000;0.67306;0.38155;3.73417;0.92920;14-17-0;5;5;0-17;false;false;14-17-0;16-17-0;4.86275e+03
Im001;0;15-28-0;15;0;30.00000;1.62467;0.37478;4.63545;0.85762;15-28-0;1;1;0-28;false;false;NA;NA;4.40533e+03
Im001;0;15-40-0;15;0;30.00000;0.30770;-0.13815;2.16221;0.66491;5-40-0;13;13;0-40;false;false;14-40-0;16-40-0;4.69222e+03
Im001;0;16-14-0;16;0;32.00000;2.71144;-0.12180;2.93158;0.60604;11-14-0;7;7;0-14;false;false;15-14-0;17-14-0;4.37789e+03
Im001;0;16-17-0;16;0;32.00000;0.63018;0.39129;3.73417;0.93806;14-17-0;5;5;0-17;false;false;15-17-0;17-17-0;4.64350e+03
Im001;0;16-28-0;16;0;32.00000;1.19001;1.22962e-02;4.63545;0.87804;16-28-0;1;1;0-28;false;false;NA;NA;4.31456e+03
Im001;0;16-40-0;16;0;32.00000;0.33945;-0.11820;2.16221;0.68201;5-40-0;13;13;0-40;false;false;15-40-0;17-40-0;5.10344e+03
Im001;0;17-11-0;17;0;34.00000;1.01036;-0.36565;2.47824;0.95808;17-11-0;2;2;0-11;false;false;NA;18-11-0;4.63189e+03
Im001;0;17-14-0;17;0;34.00000;2.52571;-3.92637e-03;2.93158;0.77579;11-14-0;7;7;0-14;false;false;16-14-0;NA;4.75956e+03
Im001;0;17-17-0;17;0;34.00000;0.65207;0.37513;3.73417;0.93353;14-17-0;5;5;0-17;false;false;16-17-0;18-17-0;4.34475e+03
Im001;0;17-28-0;17;0;34.00000;2.39357;0.31867;4.63545;0.74688;17-28-0;1;1;0-28;false;false;NA;NA;5.29388e+03
Im001;0;17-40-0;17;0;34.00000;0.34837;-0.10453;2.16221;0.68683;5-40-0;13;13;0-40;false;false;16-40-0;NA;4.55356e+03
Im001;0;18-2-0;18;0;36.00000;1.56440;0.31295;2.40448;0.87386;18-2-0;2;2;0-2;false;false;NA;19-2-0;4.04267e+03
Im001;0;18-11-0;18;0;36.00000;1.13514;-5.72033e-02;2.47824;0.97871;17-11-0;2;2;0-11;false;false;17-11-0;NA;5.03067e+03
Im001;0;18-17-0;18;0;36.00000;0.66429;0.32678;3.73417;0.93101;14-17-0;5;5;0-17;false;false;17-17-0;NA;4.91175e+03
Im001;0;19-2-0;19;0;38.00000;1.63207;0.31735;2.40448;0.85659;18-2-0;2;2;0-2;false;false;18-2-0;NA;4.17311e+03
Im001;0;19-37-0;19;0;38.00000;1.06520;-0.33669;2.51939;0.93133;19-37-0;4;4;0-37;false;false;NA;20-37-0;3.70689e+03
Im001;0;20-10-0;20;0;40.00000;0.25982;-3.20114e-02;3.10854;0.80552;20-10-0;4;4;0-10;false;false;NA;21-10-0;4.47278e+03
Im001;0;20-12-0;20;0;40.00000;1.78947;-0.22947;2.38367;0.97817;20-12-0;14;14;0-12;false;false;NA;21-12-0;4.84878e+03
Im001;0;20-40-0;20;0;40.00000;1.19147;0.24045;2.16221;0.80518;20-40-0;1;1;0-40;false;false;NA;NA;4.53233e+03
Im001;0;21-10-0;21;0;42.00000;0.26028;-5.58338e-02;3.10854;0.80577;20-10-0;4;4;0-10;false;false;20-10-0;22-10-0;4.64033e+03
Im001;0;21-11-0;21;0;42.00000;2.31280;0.12180;2.47824;0.68749;21-11-0;2;2;0-11;false;false;NA;22-11-0;4.53344e+03
Im001;0;21-12-0;21;0;42.00000;1.71275;-0.24137;2.38367;0.98788;20-12-0;14;14;0-12;false;false;20-12-0;22-12-0;4.87300e+03
Im001;0;21-28-0;21;0;42.00000;4.03929;0.33470;4.63545;0.71346;21-28-0;1;1;0-28;false;false;NA;NA;4.81656e+03
Im001;0;21-35-0;21;0;42.00000;1.27996;-0.11001;3.52774;1.05634;21-35-0;1;1;0-35;false;false;NA;NA;4.40267e+03
Im001;0;21-37-0;21;0;42.00000;1.05742;-0.24975;2.51939;0.93078;19-37-0;4;4;0-37;false;false;20-37-0;22-37-0;3.64922e+03
Im001;0;22-2-0;22;0;44.00000;0.99015;0.32562;2.40448;0.92252;22-2-0;3;3;0-2;false;false;NA;23-2-0;3.89867e+03
Im001;0;22-10-0;22;0;44.00000;0.26214;-9.34926e-02;3.10854;0.80676;20-10-0;4;4;0-10;false;false;21-10-0;23-10-0;4.40056e+03
Im001;0;22-11-0;22;0;44.00000;2.33264;0.14420;2.47824;0.66954;21-11-0;2;2;0-11;false;false;21-11-0;NA;4.26544e+03
