Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Filtered_intensity;Raw_intensity
Im002;0;0-38-0;0;0;0.00000;2.94166;0.28162;4.87860;0.75982;0-38-0;44;44;0-38;false;false;NA;1-38-0;5.60336e+03;4.06111e+03
Im002;0;0-50-0;0;0;0.00000;2.42081;-1.86314e-02;2.73741;0.72810;0-50-0;38;38;0-50;false;false;NA;1-50-0;9.45115e+03;4.79278e+03
Im002;0;1-38-0;1;0;8.54500e+03;2.94834;0.26374;4.87860;0.76037;0-38-0;44;44;0-38;false;false;0-38-0;2-38-0;5.35179e+03;3.79933e+03
Im002;0;1-47-0;1;0;8.54500e+03;1.39565e-02;2.03235e-02;2.46263;0.41822;1-47-0;1;1;0-47;false;false;NA;NA;7.38364e+03;4.08978e+03
Im002;0;1-50-0;1;0;8.54500e+03;2.42727;-2.33133e-02;2.73741;0.72311;0-50-0;38;38;0-50;false;false;0-50-0;2-50-0;8.20495e+03;4.43767e+03
Im002;0;2-31-0;2;0;8.54500e+03;1.99410;-9.42821e-02;1.97400;0.21383;2-31-0;1;1;0-31;false;false;NA;NA;1.21080e+04;6.41443e+03
Im002;0;2-38-0;2;0;8.54500e+03;2.95502;0.26368;4.87860;0.76092;0-38-0;44;44;0-38;false;false;1-38-0;3-38-0;6.89631e+03;4.43767e+03
Im002;0;2-50-0;2;0;8.54500e+03;2.44112;-3.27277e-02;2.73741;0.71242;0-50-0;38;38;0-50;false;false;1-50-0;3-50-0;9.31009e+03;5.03889e+03
Im002;0;3-12-0;3;0;6.00000;2.40855;-0.10891;2.56440;0.64194;3-12-0;1;1;0-12;false;false;NA;NA;5.88600e+03;4.09611e+03
Im002;0;3-29-0;3;0;6.00000;0.91640;0.16816;3.18722;0.89733;3-29-0;11;11;0-29;false;false;NA;4-29-0;1.18519e+04;7.75056e+03
Im002;0;3-38-0;3;0;6.00000;2.96003;0.25579;4.87860;0.76133;0-38-0;44;44;0-38;false;false;2-38-0;4-38-0;7.73325e+03;4.73833e+03
Im002;0;3-50-0;3;0;6.00000;2.43642;-5.51479e-02;2.73741;0.71605;0-50-0;38;38;0-50;false;false;2-50-0;4-50-0;8.69271e+03;4.88078e+03
Im002;0;4-29-0;4;0;8.00000;0.95444;0.25252;3.18722;0.89840;3-29-0;11;11;0-29;false;false;3-29-0;5-29-0;9.70793e+03;6.64511e+03
Im002;0;4-38-0;4;0;8.00000;2.97005;0.27298;4.87860;0.76216;0-38-0;44;44;0-38;false;false;3-38-0;5-38-0;7.58047e+03;4.66822e+03
Im002;0;4-50-0;4;0;8.00000;2.44054;-5.97761e-02;2.73741;0.71286;0-50-0;38;38;0-50;false;false;3-50-0;5-50-0;9.47791e+03;5.22944e+03
Im002;0;5-29-0;5;0;10.00000;0.96901;0.33351;3.18722;0.89882;3-29-0;11;11;0-29;false;false;4-29-0;6-29-0;8.94533e+03;6.33200e+03
Im002;0;5-38-0;5;0;10.00000;2.97005;0.25975;4.87860;0.76216;0-38-0;44;44;0-38;false;false;4-38-0;6-38-0;7.80810e+03;4.67333e+03
Im002;0;5-43-0;5;0;10.00000;2.32700;6.61285e-02;2.42555;0.55116;5-43-0;2;2;0-43;false;false;NA;6-43-0;5.08392e+03;3.95544e+03
Im002;0;5-50-0;5;0;10.00000;2.45025;-5.73506e-02;2.73741;0.70538;0-50-0;38;38;0-50;false;false;4-50-0;6-50-0;9.03185e+03;4.70644e+03
Im002;0;6-3-0;6;0;12.00000;1.33566;0.11154;2.43559;0.90781;6-3-0;1;1;0-3;false;false;NA;NA;5.67928e+03;4.29433e+03
Im002;0;6-29-0;6;0;12.00000;1.00425;0.38227;3.18722;0.89963;3-29-0;11;11;0-29;false;false;5-29-0;7-29-0;8.97874e+03;5.49143e+03
Im002;0;6-38-0;6;0;12.00000;2.97256;0.25263;4.87860;0.76236;0-38-0;44;44;0-38;false;false;5-38-0;7-38-0;7.63575e+03;4.64722e+03
Im002;0;6-43-0;6;0;12.00000;2.25859;-0.11729;2.42555;0.61260;5-43-0;2;2;0-43;false;false;5-43-0;NA;6.05030e+03;4.30811e+03
Im002;0;6-50-0;6;0;12.00000;2.44072;-5.02027e-02;2.73741;0.71272;0-50-0;38;38;0-50;false;false;5-50-0;7-50-0;9.22639e+03;4.97978e+03
Im002;0;7-19-0;7;0;14.00000;0.97959;-0.44486;1.80588;0.88215;7-19-0;1;1;0-19;false;false;NA;NA;3.69938e+03;3.59289e+03
Im002;0;7-29-0;7;0;14.00000;1.14670;0.28175;3.18722;0.89617;3-29-0;11;11;0-29;false;false;6-29-0;8-29-0;8.90976e+03;6.08589e+03
Im002;0;7-38-0;7;0;14.00000;2.98342;0.24465;4.87860;0.76326;0-38-0;44;44;0-38;false;false;6-38-0;8-38-0;8.10514e+03;4.83889e+03
Im002;0;7-50-0;7;0;14.00000;2.44677;-5.41321e-02;2.73741;0.70806;0-50-0;38;38;0-50;false;false;6-50-0;8-50-0;9.17697e+03;4.86378e+03
Im002;0;8-29-0;8;0;16.00000;1.08827;0.32231;3.18722;0.89753;3-29-0;11;11;0-29;false;false;7-29-0;9-29-0;1.09199e+04;6.95567e+03
Im002;0;8-38-0;8;0;16.00000;3.00765;0.24817;4.87860;0.76526;0-38-0;44;44;0-38;false;false;7-38-0;9-38-0;8.03353e+03;4.82511e+03
Im002;0;8-44-0;8;0;16.00000;0.12000;4.97058e-02;1.58302;0.62525;8-44-0;1;1;0-44;false;false;NA;NA;7.01843e+03;4.51856e+03
Im002;0;8-50-0;8;0;16.00000;2.44515;-4.21191e-02;2.73741;0.70931;0-50-0;38;38;0-50;false;false;7-50-0;9-50-0;9.79482e+03;5.26922e+03
Im002;0;8-62-0;8;0;16.00000;0.88174;-1.38719e-02;2.95865;0.93193;8-62-0;3;3;0-62;false;false;NA;9-62-0;5.14971e+03;3.86911e+03
Im002;0;9-29-0;9;0;18.00000;1.30788;0.29980;3.18722;0.88755;3-29-0;11;11;0-29;false;false;8-29-0;10-29-0;8.11681e+03;5.53544e+03
Im002;0;9-36-0;9;0;18.00000;0.65339;3.64028e-02;2.34146;0.56841;9-36-0;3;3;0-36;false;false;NA;10-36-0;6.36767e+03;4.41456e+03
Im002;0;9-38-0;9;0;18.00000;3.02184;0.22805;4.87860;0.76643;0-38-0;44;44;0-38;false;false;8-38-0;10-38-0;7.64562e+03;4.75467e+03
Im002;0;9-39-0;9;0;18.00000;0.33687;-0.32278;3.03441;0.79135;9-39-0;1;1;0-39;false;false;NA;NA;4.94727e+03;4.14144e+03
Im002;0;9-40-0;9;0;18.00000;3.93664;-0.19765;4.24737;0.72995;9-40-0;1;1;0-40;false;false;NA;NA;4.61554e+03;3.76922e+03
Im002;0;9-50-0;9;0;18.00000;2.44041;-6.41019e-02;2.73741;0.71296;0-50-0;38;38;0-50;false;false;8-50-0;10-50-0;8.94698e+03;4.98022e+03
Im002;0;9-53-0;9;0;18.00000;2.48318;3.84855e-03;2.92903;0.75536;9-53-0;1;1;0-53;false;false;NA;NA;4.01790e+03;3.49944e+03
Im002;0;9-62-0;9;0;18.00000;0.78327;4.52029e-02;2.95865;0.92837;8-62-0;3;3;0-62;false;false;8-62-0;10-62-0;4.42204e+03;3.43111e+03
Im002;0;10-29-0;10;0;20.00000;1.32831;0.29201;3.18722;0.88583;3-29-0;11;11;0-29;false;false;9-29-0;11-29-0;7.98221e+03;5.39778e+03
Im002;0;10-30-0;10;0;20.00000;2.93929;0.36331;3.49206;0.81366;10-30-0;1;1;0-30;false;false;NA;NA;4.70425e+03;4.17343e+03
