Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity;ParentNucleoidIndices;DistCC_oc3
Im002;0;0-0-0;0;0;0.00000;0.89098;2.31512e-02;1.74840;0.83988;0-0-0;23;23;0-0;false;false;NA;1-0-0;5.30022e+03;0-0-0;5.01809e-02
Im002;0;0-22-0;0;0;0.00000;3.05098;-0.38075;3.70759;0.88157;0-22-0;2;2;0-22;false;false;NA;1-22-0;4.52300e+03;0-22-0;0.43429
Im002;0;1-0-0;1;0;2.00000;0.89484;1.69236e-02;1.74840;0.83987;0-0-0;23;23;0-0;false;false;0-0-0;2-0-0;5.54800e+03;1-0-0;5.54228e-02
Im002;0;1-20-0;1;0;2.00000;2.01158;-3.49554e-02;2.86115;0.70492;1-20-0;2;2;0-20;false;false;NA;2-20-0;5.18978e+03;1-20-0;0.50832
Im002;0;1-22-0;1;0;2.00000;3.04295;-0.40690;3.70759;0.88290;0-22-0;2;2;0-22;false;false;0-22-0;NA;4.37650e+03;1-22-0;0.45237
Im002;0;2-0-0;2;0;4.00000;0.89818;3.31066e-02;1.74840;0.83987;0-0-0;23;23;0-0;false;false;1-0-0;3-0-0;6.03356e+03;2-0-0;3.89730e-02
Im002;0;2-20-0;2;0;4.00000;2.02645;1.04990e-02;2.86115;0.70299;1-20-0;2;2;0-20;false;false;1-20-0;NA;6.40600e+03;2-20-0;0.52594
Im002;0;3-0-0;3;0;6.00000;0.90142;4.15722e-02;1.74840;0.83987;0-0-0;23;23;0-0;false;false;2-0-0;4-0-0;5.75433e+03;3-0-0;3.01998e-02
Im002;0;4-0-0;4;0;8.00000;0.88805;5.55116e-02;1.74840;0.83988;0-0-0;23;23;0-0;false;false;3-0-0;5-0-0;5.77067e+03;4-0-0;2.32285e-02
Im002;0;4-13-0;4;0;8.00000;0.17013;0.20305;2.84228;0.62679;4-13-0;1;1;0-13;false;false;NA;NA;5.28589e+03;4-13-0;1.38158
Im002;0;5-0-0;5;0;10.00000;0.90939;4.77612e-02;1.74840;0.83981;0-0-0;23;23;0-0;false;false;4-0-0;6-0-0;5.63622e+03;5-0-0;2.43836e-02
Im002;0;5-22-0;5;0;10.00000;1.54256;-6.70880e-02;3.70759;0.87204;5-22-0;1;1;0-22;false;false;NA;NA;5.68144e+03;5-22-1;0.59067
Im002;0;5-22-1;5;1;10.00000;3.18589;-0.41756;3.70759;0.84825;5-22-1;2;2;0-22;false;false;NA;6-22-0;5.22714e+03;5-22-0;0.54571
Im002;0;6-0-0;6;0;12.00000;0.87312;3.61477e-02;1.74840;0.83989;0-0-0;23;23;0-0;false;false;5-0-0;7-0-0;5.59467e+03;6-0-0;4.72060e-02
Im002;0;6-22-0;6;0;12.00000;3.21690;-0.39479;3.70759;0.83809;5-22-1;2;2;0-22;false;false;5-22-1;NA;5.19800e+03;6-22-0;0.55169
Im002;0;7-0-0;7;0;14.00000;0.86654;9.47029e-04;1.74840;0.83989;0-0-0;23;23;0-0;false;false;6-0-0;8-0-0;5.50522e+03;7-0-0;7.97451e-02
Im002;0;7-10-0;7;0;14.00000;0.33741;-0.20267;4.19106;0.77028;7-10-0;1;1;0-10;false;false;NA;NA;4.83011e+03;7-10-0;0.78609
Im002;0;8-0-0;8;0;16.00000;0.88053;1.46515e-02;1.74840;0.83988;0-0-0;23;23;0-0;false;false;7-0-0;9-0-0;5.73244e+03;8-0-0;6.15609e-02
Im002;0;8-22-0;8;0;16.00000;3.53799;0.20841;3.70759;0.61568;8-22-0;1;1;0-22;false;false;NA;NA;5.30675e+03;NA;0.73767
Im002;0;9-0-0;9;0;18.00000;0.87176;8.50649e-03;1.74840;0.83989;0-0-0;23;23;0-0;false;false;8-0-0;10-0-0;5.43500e+03;9-0-0;7.07142e-02
Im002;0;10-0-0;10;0;20.00000;0.88429;1.90687e-02;1.74840;0.83988;0-0-0;23;23;0-0;false;false;9-0-0;11-0-0;5.49833e+03;10-0-0;5.61106e-02
Im002;0;11-0-0;11;0;22.00000;0.89442;2.55612e-02;1.74840;0.83987;0-0-0;23;23;0-0;false;false;10-0-0;12-0-0;5.63056e+03;11-0-0;4.70479e-02
Im002;0;12-0-0;12;0;24.00000;0.88910;2.59546e-02;1.74840;0.83988;0-0-0;23;23;0-0;false;false;11-0-0;13-0-0;5.31222e+03;12-0-0;4.80549e-02
Im002;0;13-0-0;13;0;26.00000;0.89975;7.54621e-03;1.74840;0.83987;0-0-0;23;23;0-0;false;false;12-0-0;14-0-0;5.36211e+03;13-0-0;6.41881e-02
Im002;0;14-0-0;14;0;28.00000;0.89975;1.41045e-02;1.74840;0.83987;0-0-0;23;23;0-0;false;false;13-0-0;15-0-0;5.29878e+03;14-0-0;5.76596e-02
Im002;0;15-0-0;15;0;30.00000;0.88325;5.51647e-03;1.74840;0.83988;0-0-0;23;23;0-0;false;false;14-0-0;16-0-0;5.48156e+03;15-0-0;6.91969e-02
Im002;0;15-5-0;15;0;30.00000;2.48602;-7.57073e-02;2.73506;0.68477;15-5-0;3;3;0-5;false;false;NA;16-5-0;5.24344e+03;15-5-0;0.41303
Im002;0;15-8-0;15;0;30.00000;1.36044;4.39250e-02;2.86232;0.82583;15-8-0;1;1;0-8;false;false;NA;NA;4.53556e+03;15-8-0;8.20239e-02
Im002;0;16-0-0;16;0;32.00000;0.87051;2.20181e-02;1.74840;0.83989;0-0-0;23;23;0-0;false;false;15-0-0;17-0-0;5.45422e+03;16-0-0;5.98421e-02
Im002;0;16-5-0;16;0;32.00000;2.52198;-7.10482e-02;2.73506;0.65737;15-5-0;3;3;0-5;false;false;15-5-0;17-5-0;5.27456e+03;16-5-0;0.44670
Im002;0;17-0-0;17;0;34.00000;0.84326;4.71196e-03;1.74840;0.83953;0-0-0;23;23;0-0;false;false;16-0-0;18-0-0;5.44244e+03;17-0-0;9.00606e-02
Im002;0;17-5-0;17;0;34.00000;2.48548;-0.12625;2.73506;0.68508;15-5-0;3;3;0-5;false;false;16-5-0;NA;5.30644e+03;17-5-0;0.42890
Im002;0;17-8-0;17;0;34.00000;1.30455;7.97342e-02;2.86232;0.82582;17-8-0;1;1;0-8;false;false;NA;NA;4.66633e+03;17-8-0;0.13681
Im002;0;17-22-0;17;0;34.00000;3.09018;-0.47661;3.70759;0.87507;17-22-0;4;4;0-22;false;false;NA;18-22-0;4.84200e+03;17-22-0;0.53471
Im002;0;18-0-0;18;0;36.00000;0.86038;9.42451e-03;1.74840;0.83990;0-0-0;23;23;0-0;false;false;17-0-0;19-0-0;5.35211e+03;18-0-0;7.57933e-02
