Position;PositionIdx;Indices;Frame;Idx;Time;RecBIntensity;Area;SNR;SpotCount;SpineWidth;SpineLength;BacteriaLineage;NextDivisionFrame;PreviousDivisionFrame
Im001;0;0-0;0;0;1.68978e+12;3.40458e+03;3.37209;361.15713;1;0.86871;3.47490;A;NA;NA
Im001;0;0-1;0;1;1.68978e+12;3.31322e+03;3.62357;269.79490;0;0.87504;3.67454;B;NA;NA
Im001;0;0-2;0;2;1.68978e+12;3.22780e+03;2.36618;184.37118;0;0.89131;2.40356;C;NA;NA
Im001;0;0-3;0;3;1.68978e+12;3.48766e+03;3.58928;444.23013;1;0.85315;3.80003;D;NA;NA
Im001;0;0-4;0;4;1.68978e+12;3.54841e+03;2.41190;504.98640;0;0.84661;2.57381;E;NA;NA
Im001;0;0-5;0;5;1.68978e+12;3.58567e+03;2.32046;542.24403;0;0.84271;2.50054;F;NA;NA
Im001;0;0-6;0;6;1.68978e+12;3.84118e+03;2.96058;797.75554;0;0.72401;3.34591;G;NA;NA
Im001;0;0-7;0;7;1.68978e+12;3.94066e+03;2.57193;897.23185;0;0.76620;2.90105;I;NA;NA
Im001;0;0-8;0;8;1.68978e+12;3.68624e+03;2.38904;642.81331;0;0.90551;2.35228;J;NA;NA
Im001;0;0-9;0;9;1.68978e+12;3.98646e+03;3.68072;943.03681;0;0.74708;4.10379;K;NA;NA
Im001;0;0-10;0;10;1.68978e+12;3.88343e+03;3.53212;840.00450;0;0.80134;3.84883;L;NA;NA
Im001;0;0-11;0;11;1.68978e+12;3.35765e+03;1.96610;314.22524;0;0.73480;2.27283;M;NA;NA
Im001;0;0-12;0;12;1.68978e+12;3.50854e+03;2.57193;465.11630;0;0.80108;2.74559;N;NA;NA
Im001;0;0-13;0;13;1.68978e+12;3.51523e+03;3.23492;471.80022;0;0.79213;3.51625;O;NA;NA
Im001;0;0-14;0;14;1.68978e+12;3.46052e+03;3.82932;417.09348;0;0.83940;3.99104;P;NA;NA
Im001;0;0-15;0;15;1.68978e+12;3.29820e+03;2.84627;254.77889;0;0.77449;3.06536;Q;NA;NA
Im001;0;0-16;0;16;1.68978e+12;3.82142e+03;2.48049;777.99804;0;0.81539;2.61600;R;NA;NA
Im001;0;0-17;0;17;1.68978e+12;3.33574e+03;1.78321;292.31125;0;0.74081;2.04782;S;NA;NA
Im001;0;0-18;0;18;1.68978e+12;3.47023e+03;2.32046;426.80560;0;0.88721;2.39740;U;NA;NA
Im001;0;0-19;0;19;1.68978e+12;3.25650e+03;1.96610;213.07407;0;0.75863;2.16477;V;NA;NA
Im001;0;1-0;1;0;0.00000;3.29240e+03;3.37209;351.91046;0;0.86871;3.47490;A;NA;NA
Im001;0;1-1;1;1;0.00000;3.19445e+03;3.62357;253.96133;0;0.87504;3.67454;B;NA;NA
Im001;0;1-2;1;2;0.00000;3.11711e+03;2.36618;176.61335;0;0.89131;2.40356;C;NA;NA
Im001;0;1-3;1;3;0.00000;3.45011e+03;3.58928;509.62172;0;0.85315;3.80003;D;NA;NA
Im001;0;1-4;1;4;0.00000;3.44434e+03;2.41190;503.84830;0;0.84661;2.57381;E;NA;NA
Im001;0;1-5;1;5;0.00000;3.43821e+03;2.32046;497.71396;0;0.84271;2.50054;F;NA;NA
Im001;0;1-6;1;6;0.00000;3.66984e+03;2.96058;729.34490;0;0.72401;3.34591;G;NA;NA
Im001;0;1-7;1;7;0.00000;3.78221e+03;2.57193;841.71596;0;0.76620;2.90105;I;NA;NA
Im001;0;1-8;1;8;0.00000;3.53553e+03;2.38904;595.03338;0;0.90551;2.35228;J;NA;NA
Im001;0;1-9;1;9;0.00000;3.82002e+03;3.68072;879.52259;0;0.74708;4.10379;K;NA;NA
Im001;0;1-10;1;10;0.00000;3.73502e+03;3.53212;794.52648;1;0.80134;3.84883;L;NA;NA
Im001;0;1-11;1;11;0.00000;3.21439e+03;1.96610;273.89660;0;0.73480;2.27283;M;NA;NA
Im001;0;1-12;1;12;0.00000;3.39124e+03;2.57193;450.75151;0;0.80108;2.74559;N;NA;NA
Im001;0;1-13;1;13;0.00000;3.42237e+03;3.23492;481.87456;0;0.79213;3.51625;O;NA;NA
Im001;0;1-14;1;14;0.00000;3.33992e+03;3.82932;399.42348;0;0.83940;3.99104;P;NA;NA
Im001;0;1-15;1;15;0.00000;3.22771e+03;2.84627;287.21389;0;0.77449;3.06536;Q;NA;NA
Im001;0;1-16;1;16;0.00000;3.76140e+03;2.48049;820.90799;0;0.81539;2.61600;R;NA;NA
Im001;0;1-17;1;17;0.00000;3.28894e+03;1.78321;348.44296;0;0.74081;2.04782;S;NA;NA
Im001;0;1-18;1;18;0.00000;3.39386e+03;2.32046;453.36914;0;0.88721;2.39740;U;NA;NA
Im001;0;1-19;1;19;0.00000;3.11439e+03;1.96610;173.89660;0;0.75863;2.16477;V;NA;NA
Im001;0;2-0;2;0;4.00000;3.46864e+03;3.37209;384.47004;0;0.86871;3.47490;A;NA;NA
Im001;0;2-1;2;1;4.00000;3.33738e+03;3.62357;253.20137;0;0.87504;3.67454;B;NA;NA
Im001;0;2-2;2;2;4.00000;3.27171e+03;2.36618;187.53612;0;0.89131;2.40356;C;NA;NA
Im001;0;2-3;2;3;4.00000;3.59304e+03;3.58928;508.86419;0;0.85315;3.80003;D;NA;NA
Im001;0;2-4;2;4;4.00000;3.62011e+03;2.41190;535.93498;0;0.84661;2.57381;E;NA;NA
