Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity;ParentNucleoidIndices;DistCC_oc3
Im001;0;0-9-0;0;0;0.00000;2.71242;8.46382e-02;3.91484;0.90018;0-9-0;8;8;0-9;false;false;NA;1-9-0;5.39178e+03;0-9-1;0.15478
Im001;0;0-21-0;0;0;0.00000;0.33791;0.11215;3.52000;0.78505;0-21-0;5;5;0-21;false;false;NA;1-21-0;5.01300e+03;0-21-0;0.22774
Im001;0;0-35-0;0;0;0.00000;0.18893;0.12008;2.14804;0.68568;0-35-0;1;1;0-35;false;false;NA;NA;8.37833e+03;0-35-0;0.54203
Im001;0;1-9-0;1;0;2.00000;2.68158;0.16720;3.91484;0.90103;0-9-0;8;8;0-9;false;false;0-9-0;2-9-0;5.04967e+03;1-9-1;0.15478
Im001;0;1-21-0;1;0;2.00000;0.31959;5.99250e-02;3.52000;0.77817;0-21-0;5;5;0-21;false;false;0-21-0;2-21-0;5.05389e+03;1-21-0;0.17922
Im001;0;2-9-0;2;0;4.00000;2.61299;0.22605;3.91484;0.90187;0-9-0;8;8;0-9;false;false;1-9-0;3-9-0;5.76111e+03;2-9-1;0.30547
Im001;0;2-21-0;2;0;4.00000;0.30567;6.50776e-02;3.52000;0.77301;0-21-0;5;5;0-21;false;false;1-21-0;3-21-0;5.77778e+03;2-21-0;0.17922
Im001;0;3-9-0;3;0;6.00000;2.65360;0.32630;3.91484;0.90137;0-9-0;8;8;0-9;false;false;2-9-0;4-9-0;5.39722e+03;3-9-1;0.33284
Im001;0;3-21-0;3;0;6.00000;0.28999;6.05677e-02;3.52000;0.76726;0-21-0;5;5;0-21;false;false;2-21-0;4-21-0;5.73433e+03;3-21-0;0.17922
Im001;0;4-9-0;4;0;8.00000;2.55914;0.20527;3.91484;0.90257;0-9-0;8;8;0-9;false;false;3-9-0;5-9-0;5.84978e+03;4-9-1;0.30547
Im001;0;4-21-0;4;0;8.00000;0.20477;0.16607;3.52000;0.71255;0-21-0;5;5;0-21;false;false;3-21-0;NA;5.49989e+03;4-21-0;0.28453
Im001;0;4-35-0;4;0;8.00000;0.21484;6.73224e-02;2.14804;0.70585;4-35-0;5;5;0-35;false;false;NA;5-35-0;8.13167e+03;4-35-0;0.46601
Im001;0;5-9-0;5;0;10.00000;2.62031;4.20351e-02;3.91484;0.90178;0-9-0;8;8;0-9;false;false;4-9-0;6-9-0;5.45789e+03;5-9-1;0.24765
Im001;0;5-20-0;5;0;10.00000;0.81930;-0.29434;2.72227;0.83057;5-20-0;3;3;0-20;false;false;NA;6-20-0;4.84125e+03;NA;0.82151
Im001;0;5-31-0;5;0;10.00000;1.87603;0.39333;3.10154;0.87070;5-31-0;1;1;0-31;false;false;NA;NA;4.32950e+03;5-31-0;0.58858
Im001;0;5-33-0;5;0;10.00000;0.44985;-0.29984;2.08669;0.74352;5-33-0;1;1;0-33;false;false;NA;NA;5.11800e+03;NA;0.88056
Im001;0;5-35-0;5;0;10.00000;0.20899;1.82082e-02;2.14804;0.70129;4-35-0;5;5;0-35;false;false;4-35-0;6-35-0;7.48856e+03;5-35-0;0.46601
Im001;0;6-9-0;6;0;12.00000;2.57360;-1.52330e-02;3.91484;0.90238;0-9-0;8;8;0-9;false;false;5-9-0;7-9-0;5.33911e+03;6-9-1;0.33533
Im001;0;6-20-0;6;0;12.00000;0.77994;-0.33257;2.72227;0.82818;5-20-0;3;3;0-20;false;false;5-20-0;7-20-0;4.20750e+03;NA;0.82151
