Position;PositionIdx;Indices;Frame;Idx;Time;SNR;Nucleoid_size;NucleoidLength;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;ObjectCount
Im001;0;0-0-0;0;0;0.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;0-1-0;0;0;0.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;0-1-1;0;1;0.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;0-2-0;0;0;0.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;0-3-0;0;0;0.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;0-4-0;0;0;0.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;0-5-0;0;0;0.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;0-6-0;0;0;0.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;1-0-0;1;0;2.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;1-1-0;1;0;2.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;1-1-1;1;1;2.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;1-2-0;1;0;2.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;1-3-0;1;0;2.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;1-4-0;1;0;2.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;1-5-0;1;0;2.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;1-6-0;1;0;2.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;2-0-0;2;0;4.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;2-1-0;2;0;4.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;1
Im001;0;2-1-1;2;1;4.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;2-2-0;2;0;4.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;2-3-0;2;0;4.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;2-4-0;2;0;4.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;2-5-0;2;0;4.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;2-6-0;2;0;4.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;3-0-0;3;0;6.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;3-1-0;3;0;6.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;3-1-1;3;1;6.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;3-2-0;3;0;6.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;3-3-0;3;0;6.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;3-4-0;3;0;6.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;3-5-0;3;0;6.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;3-6-0;3;0;6.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;4-0-0;4;0;8.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;4-1-0;4;0;8.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;4-1-1;4;1;8.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;4-2-0;4;0;8.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;4-3-0;4;0;8.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;4-4-0;4;0;8.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;4-5-0;4;0;8.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;4-6-0;4;0;8.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;5-0-0;5;0;10.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;5-1-0;5;0;10.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;5-1-1;5;1;10.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;5-2-0;5;0;10.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;5-3-0;5;0;10.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;5-4-0;5;0;10.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;5-5-0;5;0;10.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;5-6-0;5;0;10.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;6-0-0;6;0;12.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;6-1-0;6;0;12.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;6-1-1;6;1;12.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;6-2-0;6;0;12.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;6-3-0;6;0;12.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;6-4-0;6;0;12.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;6-5-0;6;0;12.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;6-6-0;6;0;12.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;7-0-0;7;0;14.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;7-1-0;7;0;14.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;7-1-1;7;1;14.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;7-2-0;7;0;14.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;7-3-0;7;0;14.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;7-4-0;7;0;14.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;7-5-0;7;0;14.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;7-6-0;7;0;14.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;8-0-0;8;0;16.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;8-1-0;8;0;16.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;8-1-1;8;1;16.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;8-2-0;8;0;16.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;8-3-0;8;0;16.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;8-4-0;8;0;16.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;8-5-0;8;0;16.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;8-6-0;8;0;16.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;9-0-0;9;0;18.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;9-1-0;9;0;18.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;9-1-1;9;1;18.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;9-2-0;9;0;18.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;9-3-0;9;0;18.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;9-4-0;9;0;18.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;9-5-0;9;0;18.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;9-6-0;9;0;18.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;10-0-0;10;0;20.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;10-1-0;10;0;20.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;10-1-1;10;1;20.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;10-2-0;10;0;20.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;10-3-0;10;0;20.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;10-4-0;10;0;20.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;10-5-0;10;0;20.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;10-6-0;10;0;20.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;11-0-0;11;0;22.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;11-1-0;11;0;22.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;11-1-1;11;1;22.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;11-2-0;11;0;22.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;11-3-0;11;0;22.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;11-4-0;11;0;22.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;11-5-0;11;0;22.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;11-6-0;11;0;22.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;12-0-0;12;0;24.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;12-1-0;12;0;24.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;12-1-1;12;1;24.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;12-2-0;12;0;24.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;12-3-0;12;0;24.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;12-4-0;12;0;24.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;12-5-0;12;0;24.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;12-6-0;12;0;24.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;13-0-0;13;0;26.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;13-1-0;13;0;26.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;13-1-1;13;1;26.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;13-2-0;13;0;26.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;13-3-0;13;0;26.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;13-4-0;13;0;26.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;13-5-0;13;0;26.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;13-6-0;13;0;26.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;14-0-0;14;0;28.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;14-1-0;14;0;28.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;14-1-1;14;1;28.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;14-2-0;14;0;28.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;14-3-0;14;0;28.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;14-4-0;14;0;28.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;14-5-0;14;0;28.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;14-6-0;14;0;28.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;15-0-0;15;0;30.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;15-1-0;15;0;30.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;15-1-1;15;1;30.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;15-2-0;15;0;30.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;15-3-0;15;0;30.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;15-4-0;15;0;30.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;15-5-0;15;0;30.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;15-6-0;15;0;30.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;16-0-0;16;0;32.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;16-1-0;16;0;32.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;16-1-1;16;1;32.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;16-2-0;16;0;32.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;16-3-0;16;0;32.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;16-4-0;16;0;32.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;16-5-0;16;0;32.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;16-6-0;16;0;32.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;17-0-0;17;0;34.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;17-1-0;17;0;34.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;17-1-1;17;1;34.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
Im001;0;17-2-0;17;0;34.00000;NA;1.42885;2.43804;1.26911;-8.18360e-02;2.72783;0.90320;0
Im001;0;17-3-0;17;0;34.00000;13.73378;1.02877;1.72395;1.12874;-1.59573e-02;2.29752;0.87731;0
Im001;0;17-4-0;17;0;34.00000;6.20865;1.10879;2.28558;1.06172;-4.99186e-02;2.29701;0.93595;0
Im001;0;17-5-0;17;0;34.00000;5.77622;0.84588;1.67348;0.98367;3.79100e-02;2.09403;0.83468;0
Im001;0;17-6-0;17;0;34.00000;21.06939;0.93733;1.53079;0.90666;3.01293e-02;1.88491;0.94201;0
Im001;0;18-0-0;18;0;36.00000;7.19115;1.77178;3.00125;1.89693;3.87468e-02;3.83882;0.91421;0
Im001;0;18-1-0;18;0;36.00000;3.15918;0.29720;0.71721;1.08332;1.39187e-02;3.74095;0.92535;0
Im001;0;18-1-1;18;1;36.00000;5.40837;0.83445;1.29186;2.67920;-7.83233e-02;3.74095;0.93058;0
