Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity;ParentNucleoidIndices;DistCC_oc3
Im001;0;0-1-0;0;0;0.00000;1.30179;-2.74670e-02;3.74095;0.88290;0-1-0;1;1;0-1;false;false;NA;NA;4.31800e+03;0-1-0;0.24840
Im001;0;0-4-0;0;0;0.00000;0.46315;0.33572;2.29701;0.81522;0-4-0;18;18;0-4;false;false;NA;1-4-0;5.26167e+03;0-4-0;0.64689
Im001;0;1-0-0;1;0;2.00000;0.41697;-0.22817;3.83882;0.77036;1-0-0;34;34;0-0;false;false;NA;2-0-0;5.51344e+03;NA;1.53329
Im001;0;1-4-0;1;0;2.00000;0.45612;0.30093;2.29701;0.81205;0-4-0;18;18;0-4;false;false;0-4-0;2-4-0;4.96444e+03;1-4-0;0.72660
Im001;0;2-0-0;2;0;4.00000;0.38931;-0.25494;3.83882;0.75692;1-0-0;34;34;0-0;false;false;1-0-0;3-0-0;6.79311e+03;NA;1.53329
Im001;0;2-1-0;2;0;4.00000;1.35633;6.65815e-02;3.74095;0.87019;2-1-0;5;5;0-1;false;false;NA;3-1-0;5.02233e+03;2-1-0;0.23569
Im001;0;2-4-0;2;0;4.00000;0.45527;0.28505;2.29701;0.81167;0-4-0;18;18;0-4;false;false;1-4-0;3-4-0;6.01144e+03;2-4-0;0.72660
Im001;0;3-0-0;3;0;6.00000;0.37108;-0.25580;3.83882;0.74807;1-0-0;34;34;0-0;false;false;2-0-0;4-0-0;5.88467e+03;NA;1.53329
Im001;0;3-1-0;3;0;6.00000;1.35205;9.42105e-02;3.74095;0.87119;2-1-0;5;5;0-1;false;false;2-1-0;4-1-0;4.94956e+03;3-1-0;0.26880
Im001;0;3-2-0;3;0;6.00000;1.67201;0.14700;2.72783;0.88854;3-2-0;3;3;0-2;false;false;NA;4-2-0;5.25378e+03;3-2-0;0.45856
Im001;0;3-4-0;3;0;6.00000;0.45356;0.26078;2.29701;0.81090;0-4-0;18;18;0-4;false;false;2-4-0;4-4-0;5.74533e+03;3-4-0;0.72660
