Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity;ParentNucleoidIndices;DistCC_oc3
Im002;0;2-25-0;2;0;4.00000;2.84826e-02;-0.28563;3.99418;0.45232;2-25-0;2;2;0-25;false;false;NA;3-25-0;3.88850e+03;NA;0.93527
Im002;0;3-25-0;3;0;6.00000;2.84826e-02;-0.28563;3.99418;0.45232;2-25-0;2;2;0-25;false;false;2-25-0;NA;3.70125e+03;NA;0.93527
Im002;0;8-25-0;8;0;16.00000;-2.43346e-03;-0.13726;3.99418;0.22568;8-25-0;1;1;0-25;false;false;NA;NA;3.51638e+03;NA;0.93527
Im002;0;9-6-0;9;0;18.00000;2.14141;9.31163e-02;2.35562;0.67689;9-6-0;1;1;0-6;false;false;NA;NA;3.67400e+03;NA;1.20362
Im002;0;13-25-0;13;0;26.00000;0.99114;0.33596;3.99418;0.85494;13-25-0;1;1;0-25;false;false;NA;NA;3.54113e+03;13-25-0;0.37305
Im002;0;13-28-0;13;0;26.00000;0.72502;9.86950e-02;2.10514;0.87746;13-28-0;5;5;0-28;false;false;NA;14-28-0;4.27222e+03;13-28-0;0.35100
Im002;0;14-28-0;14;0;28.00000;0.78201;0.19931;2.10514;0.87897;13-28-0;5;5;0-28;false;false;13-28-0;15-28-0;4.18922e+03;14-28-0;0.39168
Im002;0;15-28-0;15;0;30.00000;0.82989;6.79102e-02;2.10514;0.88020;13-28-0;5;5;0-28;false;false;14-28-0;16-28-0;3.99933e+03;15-28-0;0.24893
Im002;0;16-28-0;16;0;32.00000;0.84406;0.21960;2.10514;0.88061;13-28-0;5;5;0-28;false;false;15-28-0;17-28-0;3.79178e+03;16-28-0;0.30361
Im002;0;17-28-0;17;0;34.00000;0.85295;0.26321;2.10514;0.88088;13-28-0;5;5;0-28;false;false;16-28-0;NA;3.83911e+03;17-28-0;0.30361
Im002;0;18-1-0;18;0;36.00000;2.45183;-0.33196;3.47157;0.90549;18-1-0;2;2;0-1;false;false;NA;19-1-0;3.93889e+03;18-1-0;0.76406
Im002;0;18-21-0;18;0;36.00000;0.48568;0.25588;2.29211;0.75971;18-21-0;3;3;0-21;false;false;NA;19-21-0;3.92289e+03;18-21-0;0.75826
Im002;0;19-1-0;19;0;38.00000;2.61017;-0.10195;3.47157;0.91022;18-1-0;2;2;0-1;false;false;18-1-0;NA;4.09800e+03;19-1-0;0.88390
Im002;0;19-21-0;19;0;38.00000;0.38620;0.31520;2.29211;0.73821;18-21-0;3;3;0-21;false;false;18-21-0;20-21-0;3.44611e+03;NA;0.86178
Im002;0;19-28-0;19;0;38.00000;0.87487;4.23690e-02;2.10514;0.88157;19-28-0;3;3;0-28;false;false;NA;20-28-0;4.17278e+03;19-28-0;0.15359
Im002;0;20-21-0;20;0;40.00000;0.15357;2.99183e-02;2.29211;0.61467;18-21-0;3;3;0-21;false;false;19-21-0;NA;3.68800e+03;NA;1.07971
Im002;0;20-28-0;20;0;40.00000;0.87493;5.86603e-02;2.10514;0.88157;19-28-0;3;3;0-28;false;false;19-28-0;21-28-0;3.82144e+03;20-28-0;0.15359
Im002;0;21-28-0;21;0;42.00000;0.83180;-4.91061e-03;2.10514;0.88025;19-28-0;3;3;0-28;false;false;20-28-0;NA;3.85344e+03;21-28-0;0.23371
Im002;0;22-13-0;22;0;44.00000;1.87089;-0.16066;3.84149;0.81328;22-13-0;1;1;0-13;false;false;NA;NA;4.02289e+03;NA;0.94598
Im002;0;22-25-0;22;0;44.00000;1.66078;-0.40368;3.99418;0.80260;22-25-0;1;1;0-25;false;false;NA;NA;3.31760e+03;22-25-0;0.76651
Im002;0;24-3-0;24;0;48.00000;0.95568;-0.26544;2.46077;0.81329;24-3-0;1;1;0-3;false;false;NA;NA;3.76000e+03;24-3-0;0.41604
Im002;0;24-13-0;24;0;48.00000;1.38588;0.19496;3.84149;0.83161;24-13-0;1;1;0-13;false;false;NA;NA;3.76256e+03;24-13-0;0.48660
Im002;0;24-28-0;24;0;48.00000;0.84695;7.43778e-02;2.10514;0.88069;24-28-0;8;8;0-28;false;false;NA;25-28-0;3.69389e+03;24-28-0;0.24893
Im002;0;25-28-0;25;0;50.00000;0.78995;0.14350;2.10514;0.87915;24-28-0;8;8;0-28;false;false;24-28-0;26-28-0;3.87444e+03;25-28-0;0.24893
Im002;0;26-4-0;26;0;52.00000;1.42026;0.43440;3.28981;0.83753;26-4-0;1;1;0-4;false;false;NA;NA;3.47238e+03;NA;0.40772
Im002;0;26-28-0;26;0;52.00000;0.87330;0.19652;2.10514;0.88152;24-28-0;8;8;0-28;false;false;25-28-0;27-28-0;3.79444e+03;26-28-0;0.30361
Im002;0;27-28-0;27;0;54.00000;0.96214;0.19851;2.10514;0.88111;24-28-0;8;8;0-28;false;false;26-28-0;28-28-0;3.65989e+03;27-28-0;0.23195
Im002;0;28-15-0;28;0;56.00000;1.17049;6.39757e-02;2.62308;0.89635;28-15-0;1;1;0-15;false;false;NA;NA;3.03100e+03;28-15-0;0.25374
Im002;0;28-28-0;28;0;56.00000;1.07688;1.90242e-02;2.10514;0.87705;24-28-0;8;8;0-28;false;false;27-28-0;29-28-0;3.86711e+03;28-28-0;0.12420
Im002;0;29-3-0;29;0;58.00000;0.28281;0.21535;2.46077;0.62617;29-3-0;1;1;0-3;false;false;NA;NA;3.41800e+03;NA;1.03000
Im002;0;29-28-0;29;0;58.00000;0.93552;0.12129;2.10514;0.88174;24-28-0;8;8;0-28;false;false;28-28-0;30-28-0;3.92000e+03;29-28-0;0.15359
Im002;0;30-2-0;30;0;60.00000;0.88930;-0.12092;2.57750;0.76551;30-2-0;1;1;0-2;false;false;NA;NA;2.88978e+03;30-2-0;0.51237
Im002;0;30-28-0;30;0;60.00000;0.95778;9.86290e-02;2.10514;0.88125;24-28-0;8;8;0-28;false;false;29-28-0;31-28-0;3.51122e+03;30-28-0;0.15359
Im002;0;31-28-0;31;0;62.00000;0.86528;5.35271e-02;2.10514;0.88126;24-28-0;8;8;0-28;false;false;30-28-0;NA;3.49578e+03;31-28-0;0.15359
Im002;0;32-22-0;32;0;64.00000;3.10801;-0.43394;3.77746;0.85610;32-22-0;1;1;0-22;false;false;NA;NA;3.22043e+03;32-22-1;0.56553
