Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity
Im001;0;0-15-0;0;0;0.00000;2.18502;0.14492;2.31843;0.70610;0-15-0;3;3;0-15;false;false;NA;1-15-0;1.94133e+03
Im001;0;1-14-0;1;0;7.77700e+03;1.61455;-0.37391;2.14886;0.90274;1-14-0;1;1;0-14;false;false;NA;NA;1.59913e+03
Im001;0;1-15-0;1;0;7.77700e+03;2.18379;0.24994;2.31843;0.70716;0-15-0;3;3;0-15;false;false;0-15-0;2-15-0;1.77022e+03
Im001;0;2-15-0;2;0;4.00000;2.16981;0.18030;2.31843;0.71917;0-15-0;3;3;0-15;false;false;1-15-0;NA;1.92711e+03
Im001;0;3-14-0;3;0;6.00000;1.63429;-0.34157;2.14886;0.89303;3-14-0;1;1;0-14;false;false;NA;NA;1.88988e+03
Im001;0;4-15-0;4;0;8.00000;2.17977;0.26839;2.31843;0.71061;4-15-0;6;6;0-15;false;false;NA;5-15-0;1.89822e+03
Im001;0;5-15-0;5;0;10.00000;2.14755;0.21506;2.31843;0.73829;4-15-0;6;6;0-15;false;false;4-15-0;6-15-0;1.98300e+03
Im001;0;5-37-0;5;0;10.00000;2.49999;-0.13298;2.69831;0.68400;5-37-0;1;1;0-37;false;false;NA;NA;1.72067e+03
Im001;0;6-3-0;6;0;12.00000;2.72985;0.12359;5.01522;0.79481;6-3-0;1;1;0-3;false;false;NA;NA;1.85033e+03
Im001;0;6-14-0;6;0;12.00000;1.67006;-0.37645;2.14886;0.87543;6-14-0;2;2;0-14;false;false;NA;7-14-0;1.95100e+03
Im001;0;6-15-0;6;0;12.00000;2.15921;0.19877;2.31843;0.72827;4-15-0;6;6;0-15;false;false;5-15-0;7-15-0;2.18356e+03
Im001;0;6-34-0;6;0;12.00000;1.14281;-6.99083e-02;2.64654;0.77879;6-34-0;1;1;0-34;false;false;NA;NA;2.43422e+03
Im001;0;7-14-0;7;0;14.00000;1.66547;-0.35739;2.14886;0.87769;6-14-0;2;2;0-14;false;false;6-14-0;NA;2.05278e+03
Im001;0;7-15-0;7;0;14.00000;2.16032;0.18696;2.31843;0.72732;4-15-0;6;6;0-15;false;false;6-15-0;8-15-0;2.03322e+03
Im001;0;8-15-0;8;0;16.00000;2.17251;0.14578;2.31843;0.71684;4-15-0;6;6;0-15;false;false;7-15-0;9-15-0;2.13600e+03
Im001;0;9-2-0;9;0;18.00000;0.17575;0.14693;2.61815;0.65577;9-2-0;1;1;0-2;false;false;NA;NA;2.19600e+03
Im001;0;9-14-0;9;0;18.00000;1.70178;-0.45746;2.14886;0.85984;9-14-0;2;2;0-14;false;false;NA;10-14-0;1.99929e+03
Im001;0;9-15-0;9;0;18.00000;2.17372;0.15208;2.31843;0.71580;4-15-0;6;6;0-15;false;false;8-15-0;NA;2.21611e+03
Im001;0;10-3-0;10;0;20.00000;2.99845;0.14939;5.01522;0.85608;10-3-0;1;1;0-3;false;false;NA;NA;1.94656e+03
Im001;0;10-14-0;10;0;20.00000;1.63146;-0.44231;2.14886;0.89442;9-14-0;2;2;0-14;false;false;9-14-0;NA;1.97971e+03
Im001;0;11-6-0;11;0;22.00000;0.18752;-0.28629;2.33808;0.74137;11-6-0;1;1;0-6;false;false;NA;NA;1.97322e+03
Im001;0;12-0-0;12;0;24.00000;2.29953;0.42729;3.42179;0.89533;12-0-0;2;2;0-0;false;false;NA;13-0-0;1.84800e+03
Im001;0;13-0-0;13;0;26.00000;2.52027;0.34983;3.42179;0.86661;12-0-0;2;2;0-0;false;false;12-0-0;NA;1.92613e+03
Im001;0;13-9-0;13;0;26.00000;4.14286;0.21268;5.74075;0.87815;13-9-0;5;5;0-9;false;false;NA;14-9-0;2.75122e+03
Im001;0;13-14-0;13;0;26.00000;1.66336;-0.44742;2.14886;0.87873;13-14-0;7;7;0-14;false;false;NA;14-14-0;2.10386e+03
Im001;0;13-19-0;13;0;26.00000;2.46135;-0.16579;3.40541;0.89505;13-19-0;1;1;0-19;false;false;NA;NA;2.51767e+03
Im001;0;14-9-0;14;0;28.00000;4.17783;0.16341;5.74075;0.87535;13-9-0;5;5;0-9;false;false;13-9-0;15-9-0;2.90811e+03
Im001;0;14-14-0;14;0;28.00000;1.67353;-0.41747;2.14886;0.87373;13-14-0;7;7;0-14;false;false;13-14-0;15-14-0;2.08611e+03
Im001;0;14-18-0;14;0;28.00000;0.98225;0.31433;2.44111;0.95006;14-18-0;3;3;0-18;false;false;NA;15-18-0;2.00722e+03
Im001;0;14-28-0;14;0;28.00000;0.70152;-0.22348;3.86105;0.83607;14-28-0;2;2;0-28;false;false;NA;15-28-0;1.86844e+03
Im001;0;15-0-0;15;0;30.00000;2.50539;0.35671;3.42179;0.86806;15-0-0;5;5;0-0;false;false;NA;16-0-0;1.95900e+03
Im001;0;15-9-0;15;0;30.00000;4.15821;0.16412;5.74075;0.87692;13-9-0;5;5;0-9;false;false;14-9-0;16-9-0;2.84600e+03
Im001;0;15-14-0;15;0;30.00000;1.67353;-0.41747;2.14886;0.87373;13-14-0;7;7;0-14;false;false;14-14-0;16-14-0;2.12443e+03
