Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Filtered_intensity;Raw_intensity
Im001;0;0-5-0;0;0;0.00000;0.64055;0.20754;3.54945;0.86423;0-5-0;4;4;0-5;false;false;NA;1-5-0;6.74400e+03;5.04678e+03
Im001;0;0-12-0;0;0;0.00000;1.04277;6.73689e-02;3.39336;0.83107;0-12-0;26;26;0-12;false;false;NA;1-12-0;9.42190e+03;6.02122e+03
Im001;0;0-24-0;0;0;0.00000;0.77580;0.26054;1.86391;0.83182;0-24-0;4;4;0-24;false;false;NA;1-24-0;7.50472e+03;4.68333e+03
Im001;0;0-29-0;0;0;0.00000;1.51024;0.26951;2.57053;0.82896;0-29-0;1;1;0-29;false;false;NA;NA;7.22566e+03;5.18188e+03
Im001;0;0-43-0;0;0;0.00000;0.99413;9.36735e-02;2.50897;0.74640;0-43-0;30;30;0-43;false;false;NA;1-43-0;8.47189e+03;5.37244e+03
Im001;0;1-5-0;1;0;8.99700e+03;0.74883;-0.24621;3.54945;0.84977;0-5-0;4;4;0-5;false;false;0-5-0;2-5-0;5.89821e+03;4.51289e+03
Im001;0;1-12-0;1;0;8.99700e+03;1.05136;6.37653e-02;3.39336;0.83143;0-12-0;26;26;0-12;false;false;0-12-0;2-12-0;8.68275e+03;5.69422e+03
Im001;0;1-14-0;1;0;8.99700e+03;3.31807;-9.17216e-02;4.35404;0.78985;1-14-0;1;1;0-14;false;false;NA;NA;7.15431e+03;5.53256e+03
Im001;0;1-24-0;1;0;8.99700e+03;0.76944;0.24511;1.86391;0.83154;0-24-0;4;4;0-24;false;false;0-24-0;2-24-0;7.16977e+03;4.63256e+03
Im001;0;1-43-0;1;0;8.99700e+03;1.03841;8.94499e-02;2.50897;0.74513;0-43-0;30;30;0-43;false;false;0-43-0;2-43-0;7.85105e+03;5.03378e+03
Im001;0;1-97-0;1;0;8.99700e+03;3.72218;-0.32307;4.70463;0.78993;1-97-0;5;5;0-97;false;false;NA;2-97-0;6.92825e+03;4.67343e+03
Im001;0;2-5-0;2;0;9.04000e+03;0.67589;-0.29011;3.54945;0.85926;0-5-0;4;4;0-5;false;false;1-5-0;3-5-0;6.45085e+03;5.28989e+03
Im001;0;2-11-0;2;0;9.04000e+03;2.79931;0.40949;3.30005;0.83963;2-11-0;1;1;0-11;false;false;NA;NA;6.86163e+03;5.34871e+03
Im001;0;2-12-0;2;0;9.04000e+03;1.05707;3.42837e-02;3.39336;0.83167;0-12-0;26;26;0-12;false;false;1-12-0;3-12-0;9.07279e+03;6.22222e+03
Im001;0;2-24-0;2;0;9.04000e+03;0.75283;0.24283;1.86391;0.83074;0-24-0;4;4;0-24;false;false;1-24-0;3-24-0;8.70998e+03;5.43089e+03
Im001;0;2-43-0;2;0;9.04000e+03;0.98502;3.61840e-02;2.50897;0.74675;0-43-0;30;30;0-43;false;false;1-43-0;3-43-0;9.53876e+03;5.83367e+03
Im001;0;2-97-0;2;0;9.04000e+03;3.57022;-0.31754;4.70463;0.77977;1-97-0;5;5;0-97;false;false;1-97-0;3-97-0;7.57135e+03;5.08825e+03
Im001;0;3-5-0;3;0;6.00000;0.66681;-0.27619;3.54945;0.86054;0-5-0;4;4;0-5;false;false;2-5-0;NA;5.84102e+03;4.95778e+03
Im001;0;3-12-0;3;0;6.00000;1.04916;1.87180e-02;3.39336;0.83134;0-12-0;26;26;0-12;false;false;2-12-0;4-12-0;9.48711e+03;6.11644e+03
Im001;0;3-24-0;3;0;6.00000;0.69417;0.22178;1.86391;0.82319;0-24-0;4;4;0-24;false;false;2-24-0;NA;5.04882e+03;4.40322e+03
Im001;0;3-43-0;3;0;6.00000;0.89710;-0.11889;2.50897;0.75157;0-43-0;30;30;0-43;false;false;2-43-0;4-43-0;9.87855e+03;5.87533e+03
Im001;0;3-85-0;3;0;6.00000;2.08514;-0.11828;2.73660;0.78106;3-85-0;8;8;0-85;false;false;NA;4-85-0;8.53437e+03;6.19689e+03
Im001;0;3-97-0;3;0;6.00000;3.61508;-0.19076;4.70463;0.78513;1-97-0;5;5;0-97;false;false;2-97-0;4-97-0;7.99319e+03;5.18611e+03
Im001;0;4-12-0;4;0;8.00000;1.03737;2.03337e-02;3.39336;0.83084;0-12-0;26;26;0-12;false;false;3-12-0;5-12-0;9.82940e+03;6.21389e+03
Im001;0;4-14-0;4;0;8.00000;3.26973;-5.90694e-02;4.35404;0.79123;4-14-0;7;7;0-14;false;false;NA;5-14-0;6.84266e+03;5.41700e+03
Im001;0;4-20-0;4;0;8.00000;0.55496;-0.32314;2.07816;0.84346;4-20-0;1;1;0-20;false;false;NA;NA;6.28489e+03;4.92133e+03
Im001;0;4-26-0;4;0;8.00000;0.37526;0.22665;1.90916;0.78895;4-26-0;6;6;0-26;false;false;NA;5-26-0;1.91544e+04;9.58600e+03
Im001;0;4-36-0;4;0;8.00000;2.35128;-0.21500;2.54886;0.59821;4-36-0;5;5;0-36;false;false;NA;5-36-0;8.63638e+03;5.22538e+03
Im001;0;4-43-0;4;0;8.00000;0.75977;-2.24853e-02;2.50897;0.74583;0-43-0;30;30;0-43;false;false;3-43-0;5-43-0;8.92913e+03;5.53511e+03
Im001;0;4-63-0;4;0;8.00000;0.97731;0.38249;2.47515;0.79067;4-63-0;6;6;0-63;false;false;NA;5-63-0;6.74155e+03;5.86271e+03
Im001;0;4-85-0;4;0;8.00000;1.87640;-0.17405;2.73660;0.79973;3-85-0;8;8;0-85;false;false;3-85-0;5-85-0;8.69542e+03;5.92733e+03
Im001;0;4-97-0;4;0;8.00000;3.60165;-0.26813;4.70463;0.78352;1-97-0;5;5;0-97;false;false;3-97-0;5-97-0;8.18724e+03;5.26900e+03
Im001;0;5-12-0;5;0;10.00000;1.02914;7.18534e-02;3.39336;0.83050;0-12-0;26;26;0-12;false;false;4-12-0;6-12-0;1.00148e+04;6.23878e+03
Im001;0;5-14-0;5;0;10.00000;3.25597;-7.19671e-02;4.35404;0.79156;4-14-0;7;7;0-14;false;false;4-14-0;6-14-0;7.08668e+03;5.49989e+03
Im001;0;5-26-0;5;0;10.00000;0.37978;0.22404;1.90916;0.79027;4-26-0;6;6;0-26;false;false;4-26-0;6-26-0;1.89340e+04;9.49456e+03
Im001;0;5-31-0;5;0;10.00000;1.10559;0.36117;1.79147;0.81542;5-31-0;4;4;0-31;false;false;NA;6-31-0;6.38212e+03;4.86513e+03
Im001;0;5-36-0;5;0;10.00000;2.27948;-0.23268;2.54886;0.62717;4-36-0;5;5;0-36;false;false;4-36-0;6-36-0;8.74908e+03;5.53967e+03
Im001;0;5-43-0;5;0;10.00000;0.75372;-1.50912e-02;2.50897;0.74548;0-43-0;30;30;0-43;false;false;4-43-0;6-43-0;8.87530e+03;5.59944e+03
Im001;0;5-63-0;5;0;10.00000;0.96029;0.38715;2.47515;0.79033;4-63-0;6;6;0-63;false;false;4-63-0;6-63-0;6.76229e+03;5.69186e+03
Im001;0;5-85-0;5;0;10.00000;1.92460;-0.19075;2.73660;0.79608;3-85-0;8;8;0-85;false;false;4-85-0;6-85-0;9.26087e+03;6.12878e+03
Im001;0;5-97-0;5;0;10.00000;3.55330;-0.24803;4.70463;0.77776;1-97-0;5;5;0-97;false;false;4-97-0;NA;6.56045e+03;4.67356e+03
Im001;0;6-12-0;6;0;12.00000;1.03526;0.11481;3.39336;0.83076;0-12-0;26;26;0-12;false;false;5-12-0;7-12-0;9.50747e+03;5.89967e+03
Im001;0;6-14-0;6;0;12.00000;3.27428;-8.23479e-02;4.35404;0.79112;4-14-0;7;7;0-14;false;false;5-14-0;7-14-0;7.33536e+03;5.71911e+03
Im001;0;6-19-0;6;0;12.00000;0.65446;5.63681e-02;4.07373;0.74721;6-19-0;1;1;0-19;false;false;NA;NA;7.08137e+03;5.47656e+03
Im001;0;6-26-0;6;0;12.00000;0.36941;0.22661;1.90916;0.78725;4-26-0;6;6;0-26;false;false;5-26-0;7-26-0;1.94736e+04;9.93411e+03
Im001;0;6-31-0;6;0;12.00000;1.15544;0.38686;1.79147;0.81249;5-31-0;4;4;0-31;false;false;5-31-0;7-31-0;6.38065e+03;4.76263e+03
Im001;0;6-36-0;6;0;12.00000;2.26993;-0.25791;2.54886;0.62995;4-36-0;5;5;0-36;false;false;5-36-0;7-36-0;8.06659e+03;5.16033e+03
Im001;0;6-43-0;6;0;12.00000;0.82888;3.25522e-02;2.50897;0.75028;0-43-0;30;30;0-43;false;false;5-43-0;7-43-0;8.30724e+03;5.32267e+03
Im001;0;6-63-0;6;0;12.00000;0.98458;0.36049;2.47515;0.79081;4-63-0;6;6;0-63;false;false;5-63-0;7-63-0;7.76349e+03;5.85086e+03
Im001;0;6-85-0;6;0;12.00000;1.84191;-0.24115;2.73660;0.80239;3-85-0;8;8;0-85;false;false;5-85-0;7-85-0;8.61227e+03;5.80889e+03
Im001;0;7-8-0;7;0;14.00000;1.81581;-5.53114e-02;2.74885;0.83152;7-8-0;2;2;0-8;false;false;NA;8-8-0;6.31051e+03;5.05922e+03
Im001;0;7-12-0;7;0;14.00000;1.04599;0.11803;3.39336;0.83121;0-12-0;26;26;0-12;false;false;6-12-0;8-12-0;1.00205e+04;6.08922e+03
