Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Filtered_intensity;Raw_intensity
Im002;0;0-17-0;0;0;0.00000;0.48363;0.15782;3.68327;0.84611;0-17-0;1;1;0-17;false;false;NA;NA;7.30312e+03;4.97489e+03
Im002;0;0-24-0;0;0;0.00000;0.18848;6.87535e-02;1.73814;0.70626;0-24-0;10;10;0-24;false;false;NA;1-24-0;1.06689e+04;5.22144e+03
Im002;0;1-14-0;1;0;6.94900e+03;1.90607;0.35612;2.31528;0.74548;1-14-0;11;11;0-14;false;false;NA;2-14-0;4.58062e+03;4.26922e+03
Im002;0;1-24-0;1;0;6.94900e+03;0.14410;4.07817e-02;1.73814;0.65267;0-24-0;10;10;0-24;false;false;0-24-0;2-24-0;1.10615e+04;5.19433e+03
Im002;0;1-25-0;1;0;6.94900e+03;0.45523;-0.24897;3.08882;0.90594;1-25-0;1;1;0-25;false;false;NA;NA;4.53183e+03;3.53589e+03
Im002;0;1-31-0;1;0;6.94900e+03;1.21927;0.29080;2.44204;0.71674;1-31-0;3;3;0-31;false;false;NA;2-31-0;4.88811e+03;4.20614e+03
Im002;0;2-2-0;2;0;6.92500e+03;0.27652;0.34748;2.42074;0.70427;2-2-0;2;2;0-2;false;false;NA;3-2-0;6.81453e+03;5.19075e+03
Im002;0;2-14-0;2;0;6.92500e+03;1.90607;0.35612;2.31528;0.74548;1-14-0;11;11;0-14;false;false;1-14-0;3-14-0;5.92598e+03;5.12157e+03
Im002;0;2-24-0;2;0;6.92500e+03;0.13904;4.62844e-02;1.73814;0.64661;0-24-0;10;10;0-24;false;false;1-24-0;3-24-0;1.11670e+04;5.73133e+03
Im002;0;2-31-0;2;0;6.92500e+03;1.21927;0.29080;2.44204;0.71674;1-31-0;3;3;0-31;false;false;1-31-0;3-31-0;5.29833e+03;4.78029e+03
Im002;0;3-2-0;3;0;6.00000;-4.39069e-02;-0.11994;2.42074;0.57605;2-2-0;2;2;0-2;false;false;2-2-0;NA;6.06520e+03;5.02057e+03
Im002;0;3-4-0;3;0;6.00000;1.04615;-0.31091;2.42371;0.85159;3-4-0;1;1;0-4;false;false;NA;NA;9.03615e+03;5.79444e+03
Im002;0;3-12-0;3;0;6.00000;2.39639;0.45110;3.70213;0.81264;3-12-0;1;1;0-12;false;false;NA;NA;4.86149e+03;4.71533e+03
Im002;0;3-14-0;3;0;6.00000;1.90607;0.35612;2.31528;0.74548;1-14-0;11;11;0-14;false;false;2-14-0;4-14-0;5.53879e+03;4.70771e+03
Im002;0;3-18-0;3;0;6.00000;1.45070;-0.16623;3.25432;0.84385;3-18-0;1;1;0-18;false;false;NA;NA;7.78405e+03;5.59978e+03
Im002;0;3-24-0;3;0;6.00000;0.13895;3.65088e-02;1.73814;0.64650;0-24-0;10;10;0-24;false;false;2-24-0;4-24-0;1.06926e+04;5.46644e+03
Im002;0;3-25-0;3;0;6.00000;2.53116;0.12347;3.08882;0.92582;3-25-0;1;1;0-25;false;false;NA;NA;6.19789e+03;4.53344e+03
Im002;0;3-31-0;3;0;6.00000;1.21927;0.29080;2.44204;0.71674;1-31-0;3;3;0-31;false;false;2-31-0;NA;4.75490e+03;4.40533e+03
Im002;0;4-14-0;4;0;8.00000;1.90825;0.40668;2.31528;0.74451;1-14-0;11;11;0-14;false;false;3-14-0;5-14-0;5.81653e+03;4.81143e+03
Im002;0;4-24-0;4;0;8.00000;0.12804;3.81585e-02;1.73814;0.62994;0-24-0;10;10;0-24;false;false;3-24-0;5-24-0;1.06400e+04;5.46378e+03
Im002;0;5-2-0;5;0;10.00000;1.59390;-0.31316;2.42074;0.87475;5-2-0;1;1;0-2;false;false;NA;NA;6.79443e+03;5.33733e+03
Im002;0;5-14-0;5;0;10.00000;1.91133;0.41175;2.31528;0.74314;1-14-0;11;11;0-14;false;false;4-14-0;6-14-0;6.10051e+03;4.86829e+03
Im002;0;5-24-0;5;0;10.00000;0.12470;2.36843e-02;1.73814;0.62464;0-24-0;10;10;0-24;false;false;4-24-0;6-24-0;1.29386e+04;6.18311e+03
Im002;0;6-4-0;6;0;12.00000;1.81514;0.36067;2.42371;0.81631;6-4-0;1;1;0-4;false;false;NA;NA;9.38884e+03;5.42963e+03
Im002;0;6-14-0;6;0;12.00000;1.90607;0.35612;2.31528;0.74548;1-14-0;11;11;0-14;false;false;5-14-0;7-14-0;5.78808e+03;4.98443e+03
Im002;0;6-24-0;6;0;12.00000;0.12737;1.92377e-02;1.73814;0.62887;0-24-0;10;10;0-24;false;false;5-24-0;7-24-0;1.26722e+04;6.11800e+03
Im002;0;7-8-0;7;0;14.00000;0.88146;-0.30321;1.51366;0.84612;7-8-0;1;1;0-8;false;false;NA;NA;6.11937e+03;4.55511e+03
Im002;0;7-14-0;7;0;14.00000;1.94019;0.41645;2.31528;0.73038;1-14-0;11;11;0-14;false;false;6-14-0;8-14-0;5.48590e+03;4.65429e+03
Im002;0;7-24-0;7;0;14.00000;0.13267;1.56151e-02;1.73814;0.63729;0-24-0;10;10;0-24;false;false;6-24-0;8-24-0;1.16954e+04;5.67956e+03
Im002;0;8-4-0;8;0;16.00000;2.10238;0.24527;2.42371;0.73217;8-4-0;1;1;0-4;false;false;NA;NA;6.28245e+03;4.55800e+03
Im002;0;8-14-0;8;0;16.00000;1.90607;0.35612;2.31528;0.74548;1-14-0;11;11;0-14;false;false;7-14-0;9-14-0;5.17914e+03;4.53614e+03
Im002;0;8-24-0;8;0;16.00000;0.12629;1.12091e-02;1.73814;0.62716;0-24-0;10;10;0-24;false;false;7-24-0;9-24-0;1.10041e+04;5.62144e+03
Im002;0;9-14-0;9;0;18.00000;1.92502;0.40606;2.31528;0.73708;1-14-0;11;11;0-14;false;false;8-14-0;10-14-0;5.58235e+03;4.59243e+03
Im002;0;9-24-0;9;0;18.00000;0.13666;3.36165e-03;1.73814;0.64363;0-24-0;10;10;0-24;false;false;8-24-0;NA;8.84565e+03;4.93511e+03
Im002;0;10-14-0;10;0;20.00000;1.94761;0.40132;2.31528;0.72712;1-14-0;11;11;0-14;false;false;9-14-0;11-14-0;5.51569e+03;4.61771e+03
Im002;0;11-14-0;11;0;22.00000;1.93726;0.36893;2.31528;0.73167;1-14-0;11;11;0-14;false;false;10-14-0;NA;5.50099e+03;4.39029e+03
Im002;0;12-2-0;12;0;24.00000;0.27407;0.24723;2.42074;0.70330;12-2-0;1;1;0-2;false;false;NA;NA;6.51530e+03;4.79167e+03
Im002;0;12-31-0;12;0;24.00000;1.46492;0.29702;2.44204;0.74749;12-31-0;2;2;0-31;false;false;NA;13-31-0;8.37547e+03;4.71757e+03
Im002;0;13-25-0;13;0;26.00000;9.29376e-02;8.35477e-02;3.08882;0.56219;13-25-0;1;1;0-25;false;false;NA;NA;5.39566e+03;4.21678e+03
Im002;0;13-31-0;13;0;26.00000;1.47400;0.28646;2.44204;0.74891;12-31-0;2;2;0-31;false;false;12-31-0;NA;7.26379e+03;4.62071e+03
Im002;0;14-9-0;14;0;28.00000;1.16991;-0.14926;1.82218;0.81449;14-9-0;1;1;0-9;false;false;NA;NA;5.52114e+03;4.57267e+03
Im002;0;14-24-0;14;0;28.00000;0.70445;0.27586;1.73814;0.95442;14-24-0;4;4;0-24;false;false;NA;15-24-0;6.51435e+03;4.36000e+03
Im002;0;15-16-0;15;0;30.00000;2.32577;-0.40332;2.81080;0.84763;15-16-0;1;1;0-16;false;false;NA;NA;7.54643e+03;5.09811e+03
Im002;0;15-21-0;15;0;30.00000;2.45680;8.49411e-02;4.25372;0.86124;15-21-0;1;1;0-21;false;false;NA;NA;4.90248e+03;4.20333e+03
Im002;0;15-24-0;15;0;30.00000;0.61882;0.19973;1.73814;0.94410;14-24-0;4;4;0-24;false;false;14-24-0;16-24-0;7.06425e+03;4.65489e+03
Im002;0;16-4-0;16;0;32.00000;1.65091;0.11849;2.42371;0.83795;16-4-0;1;1;0-4;false;false;NA;NA;4.96002e+03;4.27978e+03
