Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity
Im001;0;0-5-0;0;0;0.00000;0.68792;-0.13682;3.86572;0.85364;0-5-0;13;13;0-5;false;false;NA;1-5-0;4.78244e+03
Im001;0;1-3-0;1;0;8.45400e+03;2.02323;-0.33725;3.25485;0.84312;1-3-0;9;9;0-3;false;false;NA;2-3-0;4.73938e+03
Im001;0;1-5-0;1;0;8.45400e+03;0.67581;-0.25358;3.86572;0.85206;0-5-0;13;13;0-5;false;false;0-5-0;2-5-0;4.80422e+03
Im001;0;1-5-1;1;1;8.45400e+03;2.97428;0.37022;3.86572;0.95110;1-5-1;49;49;0-5;false;false;NA;2-5-1;4.17356e+03
Im001;0;1-7-0;1;0;8.45400e+03;3.09069;-0.27427;3.19375;0.56155;1-7-0;2;2;0-7;false;false;NA;2-7-0;3.80749e+04
Im001;0;2-3-0;2;0;4.00000;2.00159;-0.35738;3.25485;0.84286;1-3-0;9;9;0-3;false;false;1-3-0;3-3-0;5.30950e+03
Im001;0;2-5-0;2;0;4.00000;0.63922;-0.25975;3.86572;0.84721;0-5-0;13;13;0-5;false;false;1-5-0;3-5-0;5.37156e+03
Im001;0;2-5-1;2;1;4.00000;2.96593;0.34337;3.86572;0.95084;1-5-1;49;49;0-5;false;false;1-5-1;3-5-1;4.52289e+03
Im001;0;2-7-0;2;0;4.00000;3.10449;-0.27558;3.19375;0.54727;1-7-0;2;2;0-7;false;false;1-7-0;NA;3.09383e+04
Im001;0;3-3-0;3;0;6.00000;2.02603;-0.37431;3.25485;0.84313;1-3-0;9;9;0-3;false;false;2-3-0;4-3-0;5.18150e+03
Im001;0;3-5-0;3;0;6.00000;0.68667;-0.28431;3.86572;0.85348;0-5-0;13;13;0-5;false;false;2-5-0;4-5-0;5.29800e+03
Im001;0;3-5-1;3;1;6.00000;2.94228;0.30832;3.86572;0.94816;1-5-1;49;49;0-5;false;false;2-5-1;4-5-1;4.52633e+03
Im001;0;4-3-0;4;0;8.00000;2.01579;-0.36419;3.25485;0.84306;1-3-0;9;9;0-3;false;false;3-3-0;5-3-0;5.29425e+03
Im001;0;4-5-0;4;0;8.00000;0.63045;-0.32788;3.86572;0.84543;0-5-0;13;13;0-5;false;false;3-5-0;5-5-0;5.36188e+03
Im001;0;4-5-1;4;1;8.00000;2.92276;0.28701;3.86572;0.94510;1-5-1;49;49;0-5;false;false;3-5-1;5-5-1;4.72022e+03
Im001;0;4-15-0;4;0;8.00000;1.66907;-0.39551;2.06269;0.78869;4-15-0;1;1;0-15;false;false;NA;NA;4.12156e+03
Im001;0;5-3-0;5;0;10.00000;2.00806;-0.35623;3.25485;0.84295;1-3-0;9;9;0-3;false;false;4-3-0;6-3-0;5.18075e+03
Im001;0;5-5-0;5;0;10.00000;0.64616;-0.33314;3.86572;0.84818;0-5-0;13;13;0-5;false;false;4-5-0;6-5-0;5.58588e+03
Im001;0;5-5-1;5;1;10.00000;2.92505;0.26729;3.86572;0.94546;1-5-1;49;49;0-5;false;false;4-5-1;6-5-1;4.52167e+03
Im001;0;6-3-0;6;0;12.00000;2.01892;-0.35200;3.25485;0.84310;1-3-0;9;9;0-3;false;false;5-3-0;7-3-0;4.93975e+03
Im001;0;6-5-0;6;0;12.00000;0.70546;-0.31086;3.86572;0.85594;0-5-0;13;13;0-5;false;false;5-5-0;7-5-0;5.22500e+03
Im001;0;6-5-1;6;1;12.00000;2.93926;0.26032;3.86572;0.94769;1-5-1;49;49;0-5;false;false;5-5-1;7-5-1;4.79133e+03
Im001;0;7-3-0;7;0;14.00000;2.00994;-0.36521;3.25485;0.84298;1-3-0;9;9;0-3;false;false;6-3-0;8-3-0;5.89838e+03
Im001;0;7-5-0;7;0;14.00000;0.78346;-0.29936;3.86572;0.86538;0-5-0;13;13;0-5;false;false;6-5-0;8-5-0;5.46678e+03
Im001;0;7-5-1;7;1;14.00000;2.92950;0.25698;3.86572;0.94615;1-5-1;49;49;0-5;false;false;6-5-1;8-5-1;4.53611e+03
Im001;0;8-3-0;8;0;16.00000;2.00733;-0.38260;3.25485;0.84294;1-3-0;9;9;0-3;false;false;7-3-0;9-3-0;5.92638e+03
Im001;0;8-5-0;8;0;16.00000;0.77103;-0.30577;3.86572;0.86401;0-5-0;13;13;0-5;false;false;7-5-0;9-5-0;5.37000e+03
Im001;0;8-5-1;8;1;16.00000;2.95442;0.25046;3.86572;0.95007;1-5-1;49;49;0-5;false;false;7-5-1;9-5-1;4.69222e+03
Im001;0;9-3-0;9;0;18.00000;2.00357;-0.41529;3.25485;0.84289;1-3-0;9;9;0-3;false;false;8-3-0;NA;5.78238e+03
Im001;0;9-4-0;9;0;18.00000;3.90508;-0.28271;4.06096;0.64900;9-4-0;1;1;0-4;false;false;NA;NA;5.01822e+03
Im001;0;9-5-0;9;0;18.00000;0.75160;-0.35526;3.86572;0.86187;0-5-0;13;13;0-5;false;false;8-5-0;10-5-0;5.39722e+03
Im001;0;9-5-1;9;1;18.00000;2.98431;0.25340;3.86572;0.95140;1-5-1;49;49;0-5;false;false;8-5-1;10-5-1;4.70189e+03
Im001;0;10-5-0;10;0;20.00000;0.84568;-0.35207;3.86572;0.87229;0-5-0;13;13;0-5;false;false;9-5-0;11-5-0;5.34433e+03
Im001;0;10-5-1;10;1;20.00000;3.00435;0.24330;3.86572;0.95200;1-5-1;49;49;0-5;false;false;9-5-1;11-5-1;4.66844e+03
Im001;0;11-3-0;11;0;22.00000;2.00190;-0.41505;3.25485;0.84287;11-3-0;1;1;0-3;false;false;NA;NA;5.52313e+03
Im001;0;11-5-0;11;0;22.00000;0.87290;-0.36714;3.86572;0.87557;0-5-0;13;13;0-5;false;false;10-5-0;12-5-0;5.31522e+03
Im001;0;11-5-1;11;1;22.00000;3.00184;0.24069;3.86572;0.95193;1-5-1;49;49;0-5;false;false;10-5-1;12-5-1;4.48544e+03
Im001;0;11-12-0;11;0;22.00000;1.05259;0.16528;2.51018;0.88078;11-12-0;1;1;0-12;false;false;NA;NA;4.39689e+03
Im001;0;12-5-0;12;0;24.00000;0.79549;-0.39478;3.86572;0.86671;0-5-0;13;13;0-5;false;false;11-5-0;NA;5.38667e+03
Im001;0;12-5-1;12;1;24.00000;2.91962;0.20785;3.86572;0.94461;1-5-1;49;49;0-5;false;false;11-5-1;13-5-0;5.17411e+03
Im001;0;13-0-0;13;0;26.00000;0.93498;0.10236;3.02407;0.79832;13-0-0;2;2;0-0;false;false;NA;14-0-0;5.36200e+03
Im001;0;13-4-0;13;0;26.00000;3.78410e-03;-3.42484e-02;4.06096;0.50957;13-4-0;1;1;0-4;false;false;NA;NA;4.48788e+03
Im001;0;13-5-0;13;0;26.00000;2.95429;0.24275;3.86572;0.95005;1-5-1;49;49;0-5;false;false;12-5-1;14-5-0;4.89856e+03
Im001;0;14-0-0;14;0;28.00000;0.95332;9.39326e-02;3.02407;0.79790;13-0-0;2;2;0-0;false;false;13-0-0;NA;5.08144e+03
Im001;0;14-4-0;14;0;28.00000;3.85120;0.20284;4.06096;0.73221;14-4-0;1;1;0-4;false;false;NA;NA;4.44800e+03
Im001;0;14-5-0;14;0;28.00000;2.94348;0.23645;3.86572;0.94835;1-5-1;49;49;0-5;false;false;13-5-0;15-5-0;4.67900e+03
Im001;0;15-5-0;15;0;30.00000;2.98681;0.16105;3.86572;0.95147;1-5-1;49;49;0-5;false;false;14-5-0;16-5-0;4.76711e+03
Im001;0;15-11-0;15;0;30.00000;3.11764;-0.23358;3.15083;0.45789;15-11-0;1;1;0-11;false;false;NA;NA;4.05571e+03
Im001;0;16-5-0;16;0;32.00000;2.99015;0.18215;3.86572;0.95157;1-5-1;49;49;0-5;false;false;15-5-0;17-5-0;5.04778e+03
Im001;0;17-0-0;17;0;34.00000;2.75961;-7.73627e-02;3.02407;0.57995;17-0-0;2;2;0-0;false;false;NA;18-0-0;5.50822e+03
Im001;0;17-5-0;17;0;34.00000;2.98932;0.20007;3.86572;0.95155;1-5-1;49;49;0-5;false;false;16-5-0;18-5-0;4.72511e+03
Im001;0;17-14-0;17;0;34.00000;0.84337;0.22098;2.40390;0.90316;17-14-0;1;1;0-14;false;false;NA;NA;4.11867e+03
Im001;0;17-15-0;17;0;34.00000;1.54011;0.11391;2.06269;0.81967;17-15-0;3;3;0-15;false;false;NA;18-15-0;3.89333e+03
Im001;0;18-0-0;18;0;36.00000;2.73192;-4.29837e-02;3.02407;0.59447;17-0-0;2;2;0-0;false;false;17-0-0;NA;5.71178e+03
Im001;0;18-5-0;18;0;36.00000;2.99182;0.18640;3.86572;0.95163;1-5-1;49;49;0-5;false;false;17-5-0;19-5-0;4.61633e+03
Im001;0;18-15-0;18;0;36.00000;1.39117;-2.53270e-02;2.06269;0.84617;17-15-0;3;3;0-15;false;false;17-15-0;19-15-0;4.03822e+03
Im001;0;19-4-0;19;0;38.00000;3.84086;0.15962;4.06096;0.73854;19-4-0;12;12;0-4;false;false;NA;20-4-0;4.66067e+03
Im001;0;19-5-0;19;0;38.00000;2.97846;0.16916;3.86572;0.95122;1-5-1;49;49;0-5;false;false;18-5-0;20-5-0;4.71022e+03
Im001;0;19-15-0;19;0;38.00000;1.27278;6.53509e-02;2.06269;0.85448;17-15-0;3;3;0-15;false;false;18-15-0;NA;4.12156e+03
Im001;0;20-4-0;20;0;40.00000;3.79986;0.16033;4.06096;0.76385;19-4-0;12;12;0-4;false;false;19-4-0;21-4-0;4.73778e+03
Im001;0;20-5-0;20;0;40.00000;2.98347;0.16318;3.86572;0.95137;1-5-1;49;49;0-5;false;false;19-5-0;21-5-0;4.55311e+03
Im001;0;21-1-0;21;0;42.00000;0.37804;5.78791e-02;2.56436;0.73895;21-1-0;2;2;0-1;false;false;NA;22-1-0;5.02433e+03
Im001;0;21-4-0;21;0;42.00000;3.77695;0.18969;4.06096;0.77812;19-4-0;12;12;0-4;false;false;20-4-0;22-4-0;4.58822e+03
Im001;0;21-5-0;21;0;42.00000;3.02022;0.14606;3.86572;0.95248;1-5-1;49;49;0-5;false;false;20-5-0;22-5-0;4.51844e+03
Im001;0;21-14-0;21;0;42.00000;0.43837;0.16772;2.40390;0.82833;21-14-0;1;1;0-14;false;false;NA;NA;4.40178e+03
Im001;0;22-1-0;22;0;44.00000;0.22427;0.11148;2.56436;0.65562;21-1-0;2;2;0-1;false;false;21-1-0;NA;5.02422e+03
Im001;0;22-4-0;22;0;44.00000;3.73504;0.19794;4.06096;0.80348;19-4-0;12;12;0-4;false;false;21-4-0;23-4-0;4.61389e+03
Im001;0;22-5-0;22;0;44.00000;3.08191;0.14438;3.86572;0.95210;1-5-1;49;49;0-5;false;false;21-5-0;23-5-0;4.92322e+03
Im001;0;22-15-0;22;0;44.00000;0.10205;0.18021;2.06269;0.61878;22-15-0;1;1;0-15;false;false;NA;NA;3.86167e+03
Im001;0;23-3-0;23;0;46.00000;1.32018;7.34781e-03;3.25485;0.85123;23-3-0;1;1;0-3;false;false;NA;NA;5.95000e+03
Im001;0;23-4-0;23;0;46.00000;3.73008;0.19543;4.06096;0.80623;19-4-0;12;12;0-4;false;false;22-4-0;24-4-0;4.65922e+03
Im001;0;23-5-0;23;0;46.00000;3.09528;0.16948;3.86572;0.95076;1-5-1;49;49;0-5;false;false;22-5-0;24-5-0;5.05033e+03
Im001;0;24-1-0;24;0;48.00000;0.54680;0.18584;2.56436;0.79207;24-1-0;2;2;0-1;false;false;NA;25-1-0;4.92789e+03
Im001;0;24-4-0;24;0;48.00000;3.74303;0.20520;4.06096;0.79906;19-4-0;12;12;0-4;false;false;23-4-0;25-4-0;4.62567e+03
Im001;0;24-5-0;24;0;48.00000;3.11449;0.17914;3.86572;0.94883;1-5-1;49;49;0-5;false;false;23-5-0;25-5-0;5.19322e+03
Im001;0;25-1-0;25;0;50.00000;0.55479;-0.21225;2.56436;0.79415;24-1-0;2;2;0-1;false;false;24-1-0;NA;5.15444e+03
Im001;0;25-4-0;25;0;50.00000;3.77170;0.22650;4.06096;0.78141;19-4-0;12;12;0-4;false;false;24-4-0;26-4-0;4.75311e+03
Im001;0;25-5-0;25;0;50.00000;3.11616;0.15806;3.86572;0.94866;1-5-1;49;49;0-5;false;false;24-5-0;26-5-0;4.85222e+03
Im001;0;26-0-0;26;0;52.00000;1.03546;-4.89059e-02;3.02407;0.79581;26-0-0;1;1;0-0;false;false;NA;NA;5.50500e+03
Im001;0;26-4-0;26;0;52.00000;3.78400;0.21752;4.06096;0.77372;19-4-0;12;12;0-4;false;false;25-4-0;27-4-0;4.54767e+03
Im001;0;26-5-0;26;0;52.00000;3.12451;0.16278;3.86572;0.94782;1-5-1;49;49;0-5;false;false;25-5-0;27-5-0;4.90944e+03
Im001;0;27-4-0;27;0;54.00000;3.73960;0.22964;4.06096;0.80096;19-4-0;12;12;0-4;false;false;26-4-0;28-4-0;4.78844e+03
Im001;0;27-5-0;27;0;54.00000;3.11532;0.17103;3.86572;0.94875;1-5-1;49;49;0-5;false;false;26-5-0;28-5-0;4.75389e+03
Im001;0;28-4-0;28;0;56.00000;3.71640;0.26419;4.06096;0.81384;19-4-0;12;12;0-4;false;false;27-4-0;29-4-0;4.84467e+03
Im001;0;28-5-0;28;0;56.00000;3.10864;0.15863;3.86572;0.94942;1-5-1;49;49;0-5;false;false;27-5-0;29-5-1;5.27678e+03
Im001;0;29-4-0;29;0;58.00000;3.69003;0.24753;4.06096;0.82857;19-4-0;12;12;0-4;false;false;28-4-0;30-4-0;4.80689e+03
Im001;0;29-5-0;29;0;58.00000;2.48495;6.63583e-02;3.86572;0.88352;29-5-0;1;1;0-5;false;false;NA;NA;4.87744e+03
Im001;0;29-5-1;29;1;58.00000;3.08609;0.12698;3.86572;0.95168;1-5-1;49;49;0-5;false;false;28-5-0;30-5-0;5.19578e+03
Im001;0;30-4-0;30;0;60.00000;3.71004;0.20304;4.06096;0.81738;19-4-0;12;12;0-4;false;false;29-4-0;NA;4.61144e+03
Im001;0;30-5-0;30;0;60.00000;3.11950;0.16191;3.86572;0.94833;1-5-1;49;49;0-5;false;false;29-5-1;31-5-0;4.84256e+03
Im001;0;31-5-0;31;0;62.00000;3.14539;0.18278;3.86572;0.94573;1-5-1;49;49;0-5;false;false;30-5-0;32-5-0;4.85389e+03
Im001;0;32-0-0;32;0;64.00000;1.46164;-0.31268;3.02407;0.77458;32-0-0;1;1;0-0;false;false;NA;NA;6.13629e+03
Im001;0;32-4-0;32;0;64.00000;3.69908;0.14285;4.06096;0.82351;32-4-0;10;10;0-4;false;false;NA;33-4-0;4.67978e+03
Im001;0;32-5-0;32;0;64.00000;3.19350;0.19802;3.86572;0.93720;1-5-1;49;49;0-5;false;false;31-5-0;33-5-0;4.72089e+03
Im001;0;33-4-0;33;0;66.00000;3.71579;0.14809;4.06096;0.81418;32-4-0;10;10;0-4;false;false;32-4-0;34-4-0;4.78600e+03
Im001;0;33-5-0;33;0;66.00000;3.19934;0.20501;3.86572;0.93562;1-5-1;49;49;0-5;false;false;32-5-0;34-5-0;4.90544e+03
Im001;0;34-0-0;34;0;68.00000;1.50418;-0.27088;3.02407;0.77273;34-0-0;1;1;0-0;false;false;NA;NA;6.14163e+03
Im001;0;34-3-0;34;0;68.00000;1.11357;9.63271e-02;3.25485;0.84935;34-3-0;1;1;0-3;false;false;NA;NA;5.82933e+03
Im001;0;34-4-0;34;0;68.00000;3.75744;0.13634;4.06096;0.79035;32-4-0;10;10;0-4;false;false;33-4-0;35-4-0;4.63833e+03
Im001;0;34-5-0;34;0;68.00000;3.20686;0.21382;3.86572;0.93359;1-5-1;49;49;0-5;false;false;33-5-0;35-5-0;5.06811e+03
Im001;0;35-4-0;35;0;70.00000;3.77845;0.15720;4.06096;0.77718;32-4-0;10;10;0-4;false;false;34-4-0;36-4-0;4.78889e+03
Im001;0;35-5-0;35;0;70.00000;3.19767;0.19674;3.86572;0.93607;1-5-1;49;49;0-5;false;false;34-5-0;36-5-0;5.01544e+03
Im001;0;36-4-0;36;0;72.00000;3.79269;0.16798;4.06096;0.76831;32-4-0;10;10;0-4;false;false;35-4-0;37-4-0;4.62467e+03
