Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity;ParentNucleoidIndices;DistCC_oc3
Im001;0;0-12-0;0;0;0.00000;0.69562;-3.69055e-02;3.58731;0.88402;0-12-0;13;13;0-12;false;false;NA;1-12-0;4.05300e+03;0-12-0;0.98054
Im001;0;0-21-0;0;0;0.00000;0.74243;-6.03542e-02;3.78145;0.81251;0-21-0;18;18;0-21;false;false;NA;1-21-0;4.35456e+03;0-21-0;0.85535
Im001;0;1-6-0;1;0;2.00000;0.60312;-2.54973e-02;3.04774;0.69462;1-6-0;5;5;0-6;false;false;NA;2-6-0;4.27189e+03;NA;1.25331
Im001;0;1-12-0;1;0;2.00000;0.75786;-4.05270e-02;3.58731;0.88795;0-12-0;13;13;0-12;false;false;0-12-0;2-12-0;4.32322e+03;1-12-0;0.91924
Im001;0;1-21-0;1;0;2.00000;0.82878;7.47221e-02;3.78145;0.81455;0-21-0;18;18;0-21;false;false;0-21-0;2-21-0;4.26811e+03;1-21-0;0.80109
Im001;0;1-33-0;1;0;2.00000;1.32902;7.14075e-02;2.16026;0.73196;1-33-0;1;1;0-33;false;false;NA;NA;3.90578e+03;1-33-0;0.33810
Im001;0;2-6-0;2;0;4.00000;0.64364;0.12888;3.04774;0.70309;1-6-0;5;5;0-6;false;false;1-6-0;3-6-0;5.09822e+03;NA;1.20722
Im001;0;2-12-0;2;0;4.00000;0.77686;-4.41898e-02;3.58731;0.88915;0-12-0;13;13;0-12;false;false;1-12-0;3-12-0;5.21133e+03;2-12-0;0.90080
Im001;0;2-21-0;2;0;4.00000;0.87784;0.10119;3.78145;0.81510;0-21-0;18;18;0-21;false;false;1-21-0;3-21-0;4.99822e+03;2-21-0;0.76497
Im001;0;2-29-0;2;0;4.00000;0.95671;-0.28910;2.59143;0.76679;2-29-0;1;1;0-29;false;false;NA;NA;6.68650e+03;2-29-0;0.36824
