Position;PositionIdx;Indices;Frame;Idx;Time;raw_intensity;Area;SNR;SpineWidth;SpineLength
Im001;0;0-0;0;0;0.00000;251.53514;2.11470;46.94946;0.89479;2.05927
Im001;0;0-1;0;1;0.00000;239.28182;2.51478;34.69614;0.89957;2.39819
Im001;0;0-2;0;2;0.00000;253.30622;2.38904;48.72054;0.92898;2.26428
Im001;0;0-3;0;3;0.00000;260.25389;2.20615;55.66821;0.89155;2.11752
Im001;0;0-4;0;4;0.00000;224.73518;2.89200;20.14950;0.94851;2.74756
Im001;0;0-5;0;5;0.00000;239.43404;2.68624;34.84837;0.91707;2.56345
Im001;0;0-6;0;6;0.00000;253.73604;2.25187;49.15036;0.88164;2.21831
Im001;0;0-7;0;7;0.00000;227.34363;2.96058;22.75795;0.95861;2.82277
Im001;0;0-8;0;8;0.00000;232.66548;3.21206;28.07980;0.99242;3.01397
Im001;0;0-9;0;9;0.00000;224.98881;3.06346;20.40313;0.94336;2.96090
Im001;0;0-10;0;10;0.00000;246.70627;3.46354;42.12059;0.92547;3.36321
Im001;0;0-11;0;11;0.00000;225.52321;2.70910;20.93753;0.97499;2.55766
Im001;0;0-12;0;12;0.00000;253.36970;1.88608;48.78402;0.90579;1.80479
Im001;0;0-13;0;13;0.00000;257.84694;2.24044;53.26126;1.00738;2.00346
Im001;0;0-14;0;14;0.00000;253.14970;1.90895;48.56402;0.88434;1.88805
Im001;0;0-15;0;15;0.00000;229.66139;3.61214;25.07572;1.00911;3.19195
Im001;0;0-16;0;16;0.00000;266.27586;2.65195;61.69019;0.86978;2.48785
Im001;0;0-17;0;17;0.00000;229.69170;2.89200;25.10602;0.98032;2.60798
Im001;0;0-18;0;18;0.00000;351.64234;1.56602;147.05666;0.82855;1.61744
Im001;0;0-19;0;19;0.00000;252.05328;2.78912;47.46760;0.94732;2.66149
Im001;0;0-20;0;20;0.00000;264.77833;2.32046;60.19265;0.85508;2.38776
Im001;0;0-21;0;21;0.00000;423.09143;2.00039;218.50575;0.90996;1.94878
Im001;0;0-22;0;22;0.00000;277.62694;2.20615;73.04127;0.95790;2.06925
Im001;0;0-23;0;23;0.00000;218.43369;3.18920;13.84802;1.01915;2.86993
Im001;0;0-24;0;24;0.00000;331.88356;1.66890;127.29789;0.90668;1.58751
Im001;0;0-25;0;25;0.00000;250.79710;2.36618;46.21143;0.96655;2.21211
Im001;0;0-26;0;26;0.00000;344.68282;2.59480;140.09714;0.88757;2.51017
Im001;0;0-27;0;27;0.00000;266.41573;3.05203;61.83005;0.91103;2.98834
Im001;0;0-28;0;28;0.00000;248.59322;2.69767;44.00754;0.89080;2.70212
Im001;0;0-29;0;29;0.00000;241.33645;3.66929;36.75077;0.85496;3.67264
Im001;0;0-30;0;30;0.00000;270.73958;2.19472;66.15391;0.93538;2.08359
Im001;0;0-31;0;31;0.00000;289.82000;2.28616;85.23432;0.94674;2.19941
Im001;0;0-32;0;32;0.00000;249.16495;2.21758;44.57927;0.82489;2.30678
Im001;0;0-33;0;33;0.00000;242.57592;2.18329;37.99024;0.91616;2.02883
Im001;0;0-34;0;34;0.00000;253.40104;2.19472;48.81537;1.01700;1.94954
Im001;0;0-35;0;35;0.00000;223.16505;2.35475;18.57937;0.94787;2.21154
Im001;0;0-36;0;36;0.00000;236.64912;1.95467;32.06345;0.88839;1.83055
Im001;0;0-37;0;37;0.00000;246.50442;3.87505;41.91875;0.89565;3.72883
Im001;0;0-38;0;38;0.00000;245.82540;2.88057;41.23972;0.90031;2.83421
Im001;0;0-39;0;39;0.00000;232.55844;3.52069;27.97277;0.94230;3.35272
Im001;0;0-40;0;40;0.00000;230.90000;1.94324;26.31432;0.90098;1.87636
Im001;0;0-41;0;41;0.00000;223.89545;2.51478;19.30978;0.97653;2.33254
Im001;0;0-42;0;42;0.00000;282.74862;4.13796;78.16294;0.86209;4.13326
Im001;0;0-43;0;43;0.00000;240.08059;3.12061;35.49491;0.96741;2.97480
Im001;0;0-44;0;44;0.00000;226.65579;3.85219;22.07011;0.96536;3.60849
Im001;0;0-45;0;45;0.00000;253.62069;3.31494;49.03501;1.01498;2.99047
Im001;0;0-46;0;46;0.00000;257.30182;3.14347;52.71614;0.95050;3.03192
Im001;0;0-47;0;47;0.00000;247.67742;4.25226;43.09174;0.95113;4.02323
Im001;0;0-48;0;48;0.00000;247.21538;2.22901;42.62971;0.93679;2.09447
Im001;0;0-49;0;49;0.00000;265.57407;2.46906;60.98840;1.04630;2.10669
Im001;0;0-50;0;50;0.00000;251.32919;1.84036;46.74352;0.95029;1.68760
Im001;0;0-51;0;51;0.00000;269.91220;2.34332;65.32652;1.09355;1.97399
Im001;0;0-52;0;52;0.00000;248.74790;2.72053;44.16222;1.01854;2.34463
Im001;0;0-53;0;53;0.00000;247.55036;3.17777;42.96468;1.03562;2.74033
Im001;0;0-54;0;54;0.00000;310.82018;2.60623;106.23450;0.92908;2.43223
Im001;0;0-55;0;55;0.00000;241.32932;2.84627;36.74364;0.93943;2.68547
Im001;0;0-56;0;56;0.00000;256.44144;2.53764;51.85577;0.92897;2.42169
Im001;0;0-57;0;57;0.00000;308.85581;2.45763;104.27014;0.94387;2.24540
Im001;0;0-58;0;58;0.00000;216.05286;2.59480;11.46719;0.96430;2.43165
Im001;0;0-59;0;59;0.00000;232.38340;2.89200;27.79772;0.97029;2.68410
Im001;0;0-60;0;60;0.00000;217.33230;3.68072;12.74662;0.86508;3.56148
Im001;0;0-61;0;61;0.00000;244.12903;2.12613;39.54336;0.87451;2.06508
Im001;0;0-62;0;62;0.00000;232.33019;2.42333;27.74451;0.97015;2.22281
Im001;0;0-63;0;63;0.00000;236.71784;2.75483;32.13217;1.01921;2.42500
Im001;0;0-64;0;64;0.00000;342.78866;2.21758;138.20298;0.93964;2.03456
Im001;0;0-65;0;65;0.00000;226.85425;2.82341;22.26857;0.92920;2.65945
Im001;0;0-66;0;66;0.00000;319.08824;2.33189;114.50256;0.91682;2.15792
Im001;0;0-67;0;67;0.00000;274.97253;4.16082;70.38685;0.94670;3.89082
Im001;0;0-68;0;68;0.00000;242.88235;2.33189;38.29668;0.99463;2.06076
Im001;0;0-69;0;69;0.00000;231.33750;2.74340;26.75182;1.04763;2.37224
Im001;0;0-70;0;70;0.00000;232.40625;2.56050;27.82057;1.02148;2.25251
Im001;0;0-71;0;71;0.00000;202.59498;3.18920;-1.99069;1.11167;2.65514
Im001;0;0-72;0;72;0.00000;231.52653;2.80055;26.94085;0.93417;2.70062
Im001;0;0-73;0;73;0.00000;229.27528;2.03469;24.68960;0.98384;1.83065
Im001;0;0-74;0;74;0.00000;213.04369;2.35475;8.45801;0.95270;2.19932
Im001;0;0-75;0;75;0.00000;209.04101;3.62357;4.45533;0.90031;3.50728
Im001;0;0-76;0;76;0.00000;225.80905;2.27473;21.22337;1.01126;1.97271
Im001;0;0-77;0;77;0.00000;228.53158;2.17186;23.94590;0.95910;1.95066
Im001;0;0-78;0;78;0.00000;207.30178;1.93181;2.71610;0.90621;1.83747
Im001;0;0-79;0;79;0.00000;232.17314;3.23492;27.58747;0.82321;3.28121
Im001;0;0-80;0;80;0.00000;202.57078;2.50335;-2.01490;1.04904;2.19721
Im001;0;0-81;0;81;0.00000;198.91525;2.69767;-5.67042;0.90253;2.68102
Im001;0;0-82;0;82;0.00000;206.27723;2.30902;1.69155;0.89946;2.22792
