Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity;ParentNucleoidIndices;DistCC_oc3
Im001;0;0-37-0;0;0;0.00000;4.14477;-1.75957e-02;5.01516;0.84228;0-37-0;14;14;0-37;false;false;NA;1-37-0;4.23611e+03;0-37-1;0.29818
Im001;0;0-41-0;0;0;0.00000;0.26183;-0.22770;3.42607;0.64768;0-41-0;5;5;0-41;false;false;NA;1-41-0;5.52678e+03;NA;0.66476
Im001;0;1-34-0;1;0;2.00000;2.76969;-3.89686e-02;2.92927;0.61467;1-34-0;1;1;0-34;false;false;NA;NA;4.57656e+03;1-34-0;0.92371
Im001;0;1-37-0;1;0;2.00000;4.27705;-8.55431e-02;5.01516;0.84112;0-37-0;14;14;0-37;false;false;0-37-0;2-37-0;4.27000e+03;1-37-1;0.43003
Im001;0;1-41-0;1;0;2.00000;0.63461;-0.27733;3.42607;0.72555;0-41-0;5;5;0-41;false;false;0-41-0;2-41-0;4.99100e+03;1-41-0;0.33847
Im001;0;2-19-0;2;0;4.00000;0.89559;-0.18554;2.29668;0.85347;2-19-0;15;15;0-19;false;false;NA;3-19-0;5.11767e+03;2-19-0;0.19657
Im001;0;2-37-0;2;0;4.00000;4.27509;-1.15389e-02;5.01516;0.84115;0-37-0;14;14;0-37;false;false;1-37-0;3-37-1;4.89211e+03;2-37-1;0.42811
Im001;0;2-41-0;2;0;4.00000;0.66227;-0.29379;3.42607;0.72857;0-41-0;5;5;0-41;false;false;1-41-0;3-41-0;5.42863e+03;2-41-0;0.32930
Im001;0;3-1-0;3;0;6.00000;0.57146;8.24304e-02;2.37248;0.68874;3-1-0;10;10;0-1;false;false;NA;4-1-0;4.53878e+03;3-1-0;0.71088
Im001;0;3-6-0;3;0;6.00000;-5.89648e-02;-7.28209e-02;2.45841;0.21383;3-6-0;2;2;0-6;false;false;NA;4-6-0;5.63044e+03;NA;1.22111
Im001;0;3-19-0;3;0;6.00000;0.94923;-0.12851;2.29668;0.85443;2-19-0;15;15;0-19;false;false;2-19-0;4-19-0;5.35456e+03;3-19-0;0.18027
Im001;0;3-37-0;3;0;6.00000;0.70366;0.20094;5.01516;0.73028;3-37-0;1;1;0-37;false;false;NA;NA;4.79911e+03;3-37-0;0.75820
Im001;0;3-37-1;3;1;6.00000;4.30401;-2.33937e-02;5.01516;0.84018;0-37-0;14;14;0-37;false;false;2-37-0;4-37-0;4.77678e+03;3-37-1;0.45628
Im001;0;3-41-0;3;0;6.00000;0.67011;-0.30121;3.42607;0.72943;0-41-0;5;5;0-41;false;false;2-41-0;4-41-0;5.26600e+03;3-41-0;0.32915
Im001;0;4-1-0;4;0;8.00000;0.57955;0.11058;2.37248;0.69066;3-1-0;10;10;0-1;false;false;3-1-0;5-1-0;4.46078e+03;4-1-0;0.70636
Im001;0;4-6-0;4;0;8.00000;0.10690;8.18928e-02;2.45841;0.30991;3-6-0;2;2;0-6;false;false;3-6-0;NA;5.34813e+03;NA;1.21995
Im001;0;4-19-0;4;0;8.00000;1.15667;5.96266e-02;2.29668;0.84068;2-19-0;15;15;0-19;false;false;3-19-0;5-19-0;5.11011e+03;4-19-0;0.34979
Im001;0;4-30-0;4;0;8.00000;1.13510;0.20149;3.11384;0.72464;4-30-0;1;1;0-30;false;false;NA;NA;5.57233e+03;4-30-0;0.36481
Im001;0;4-37-0;4;0;8.00000;4.28600;-4.23614e-03;5.01516;0.84082;0-37-0;14;14;0-37;false;false;3-37-1;5-37-0;4.70100e+03;4-37-1;0.43968
Im001;0;4-41-0;4;0;8.00000;0.67251;-0.30749;3.42607;0.72970;0-41-0;5;5;0-41;false;false;3-41-0;NA;5.17500e+03;4-41-0;0.33206
Im001;0;4-43-0;4;0;8.00000;2.28698;-0.14607;2.63752;0.66775;4-43-0;3;3;0-43;false;false;NA;5-43-0;3.81478e+03;4-43-0;1.07523
Im001;0;5-1-0;5;0;10.00000;0.58864;8.36250e-02;2.37248;0.69282;3-1-0;10;10;0-1;false;false;4-1-0;6-1-0;4.50089e+03;5-1-0;0.69416
Im001;0;5-19-0;5;0;10.00000;1.35323;-2.17238e-02;2.29668;0.81330;2-19-0;15;15;0-19;false;false;4-19-0;6-19-0;5.25100e+03;5-19-0;0.53331
Im001;0;5-37-0;5;0;10.00000;4.25402;2.26051e-02;5.01516;0.84147;0-37-0;14;14;0-37;false;false;4-37-0;6-37-0;4.70889e+03;5-37-1;0.41157
Im001;0;5-43-0;5;0;10.00000;2.20844;-0.20655;2.63752;0.69034;4-43-0;3;3;0-43;false;false;4-43-0;6-43-0;3.67778e+03;5-43-0;1.00873
Im001;0;6-1-0;6;0;12.00000;0.63875;8.28916e-02;2.37248;0.70475;3-1-0;10;10;0-1;false;false;5-1-0;7-1-0;4.13522e+03;6-1-0;0.64498
Im001;0;6-19-0;6;0;12.00000;1.11467;-7.56500e-02;2.29668;0.84601;2-19-0;15;15;0-19;false;false;5-19-0;7-19-0;4.99200e+03;6-19-0;0.30267
Im001;0;6-37-0;6;0;12.00000;4.23951;-3.50178e-02;5.01516;0.84169;0-37-0;14;14;0-37;false;false;5-37-0;7-37-0;4.40800e+03;6-37-1;0.39139
Im001;0;6-41-0;6;0;12.00000;0.51655;-0.24513;3.42607;0.71009;6-41-0;15;15;0-41;false;false;NA;7-41-0;4.99000e+03;6-41-0;0.41523
Im001;0;6-43-0;6;0;12.00000;2.25927;-0.10786;2.63752;0.67618;4-43-0;3;3;0-43;false;false;5-43-0;NA;3.59978e+03;6-43-0;1.04425
Im001;0;7-1-0;7;0;14.00000;0.66370;6.63447e-02;2.37248;0.70960;3-1-0;10;10;0-1;false;false;6-1-0;8-1-0;4.27633e+03;7-1-0;0.61860
Im001;0;7-8-0;7;0;14.00000;2.54581;-0.29410;2.70460;0.58189;7-8-0;8;8;0-8;false;false;NA;8-8-0;4.50778e+03;NA;1.59009
Im001;0;7-18-0;7;0;14.00000;2.33104;-5.30639e-02;2.45798;0.65950;7-18-0;2;2;0-18;false;false;NA;8-18-0;4.64600e+03;NA;1.26387
Im001;0;7-19-0;7;0;14.00000;1.28480;0.18782;2.29668;0.82644;2-19-0;15;15;0-19;false;false;6-19-0;8-19-0;5.09244e+03;7-19-0;0.52430
Im001;0;7-36-0;7;0;14.00000;0.15923;-0.32234;1.65234;0.64052;7-36-0;1;1;0-36;false;false;NA;NA;5.36343e+03;7-36-0;0.71344
Im001;0;7-37-0;7;0;14.00000;4.23225;-7.85740e-02;5.01516;0.84181;0-37-0;14;14;0-37;false;false;6-37-0;8-37-0;4.61644e+03;7-37-1;0.38542
Im001;0;7-41-0;7;0;14.00000;0.50423;-0.22845;3.42607;0.70724;6-41-0;15;15;0-41;false;false;6-41-0;8-41-0;4.81400e+03;7-41-0;0.41943
Im001;0;8-1-0;8;0;16.00000;0.63193;8.41965e-02;2.37248;0.70313;3-1-0;10;10;0-1;false;false;7-1-0;9-1-0;4.45989e+03;8-1-0;0.65183
Im001;0;8-8-0;8;0;16.00000;2.54823;-0.27388;2.70460;0.58049;7-8-0;8;8;0-8;false;false;7-8-0;9-8-0;4.45689e+03;NA;1.59105
Im001;0;8-16-0;8;0;16.00000;1.67162;-0.31169;2.01376;0.70564;8-16-0;2;2;0-16;false;false;NA;9-16-0;4.85600e+03;8-16-0;0.65505
Im001;0;8-18-0;8;0;16.00000;2.39924;-2.84736e-02;2.45798;0.56639;7-18-0;2;2;0-18;false;false;7-18-0;NA;4.61956e+03;NA;1.33486
Im001;0;8-19-0;8;0;16.00000;1.51578;8.82059e-02;2.29668;0.77310;2-19-0;15;15;0-19;false;false;7-19-0;9-19-0;5.16289e+03;8-19-0;0.71779
Im001;0;8-37-0;8;0;16.00000;4.14981;-5.32137e-02;5.01516;0.84225;0-37-0;14;14;0-37;false;false;7-37-0;9-37-0;4.57033e+03;8-37-1;0.30252
Im001;0;8-41-0;8;0;16.00000;0.52418;-0.14859;3.42607;0.71115;6-41-0;15;15;0-41;false;false;7-41-0;9-41-0;5.04344e+03;8-41-0;0.38049
Im001;0;9-1-0;9;0;18.00000;0.66876;2.53227e-02;2.37248;0.71044;3-1-0;10;10;0-1;false;false;8-1-0;10-1-0;4.26878e+03;9-1-0;0.61063
Im001;0;9-8-0;9;0;18.00000;2.54876;-0.26364;2.70460;0.58018;7-8-0;8;8;0-8;false;false;8-8-0;10-8-0;4.42611e+03;NA;1.59079
