Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity;ParentNucleoidIndices;DistCC_oc3
Im002;0;0-41-0;0;0;0.00000;-9.51832e-03;0.18514;1.88590;0.45781;0-41-0;3;3;0-41;false;false;NA;1-41-0;4.06875e+03;0-41-0;0.72260
Im002;0;0-58-0;0;0;0.00000;1.72237;0.21541;1.79078;0.51463;0-58-0;1;1;0-58;false;false;NA;NA;4.39250e+03;NA;0.86903
Im002;0;1-41-0;1;0;2.00000;2.30737e-03;-2.10435e-02;1.88590;0.46086;0-41-0;3;3;0-41;false;false;0-41-0;2-41-0;4.22488e+03;1-41-0;0.69505
Im002;0;2-41-0;2;0;4.00000;-1.78787e-02;-2.71709e-02;1.88590;0.45781;0-41-0;3;3;0-41;false;false;1-41-0;NA;4.53550e+03;2-41-0;0.69505
Im002;0;2-58-0;2;0;4.00000;1.76021;0.20123;1.79078;0.45409;2-58-0;1;1;0-58;false;false;NA;NA;5.05463e+03;NA;0.86903
Im002;0;3-71-0;3;0;6.00000;1.46589;-0.24189;2.88359;0.81811;3-71-0;1;1;0-71;false;false;NA;NA;4.07956e+03;3-71-1;0.58079
Im002;0;4-18-0;4;0;8.00000;0.52981;0.22471;3.27695;0.73011;4-18-0;3;3;0-18;false;false;NA;5-18-0;4.34656e+03;4-18-0;0.32654
Im002;0;4-58-0;4;0;8.00000;1.68489;0.17011;1.79078;0.56351;4-58-0;8;8;0-58;false;false;NA;5-58-0;5.12863e+03;NA;0.86903
Im002;0;4-76-0;4;0;8.00000;-1.83951e-03;-0.18088;2.55253;0.44868;4-76-0;2;2;0-76;false;false;NA;5-76-0;4.34686e+03;4-76-0;0.61929
Im002;0;5-18-0;5;0;10.00000;0.55552;0.10737;3.27695;0.73228;4-18-0;3;3;0-18;false;false;4-18-0;6-18-0;4.21756e+03;5-18-0;0.19874
Im002;0;5-33-0;5;0;10.00000;0.79791;0.11877;2.38125;0.81609;5-33-0;15;15;0-33;false;false;NA;6-33-0;4.48767e+03;5-33-0;0.45847
Im002;0;5-58-0;5;0;10.00000;1.74138;0.13549;1.79078;0.48419;4-58-0;8;8;0-58;false;false;4-58-0;6-58-0;4.08763e+03;NA;0.88641
