Position;PositionIdx;Indices;Frame;Idx;Time;SNR;Nucleoid_size;NucleoidLength;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;ObjectCount
Im002;0;0-0-0;0;0;0.00000;9.38142;1.55459;2.93579;1.54785;5.81597e-02;3.41328;0.86728;0
Im002;0;0-1-0;0;0;0.00000;7.36365;0.94876;1.32247;3.06423;0.11793;4.07600;1.05561;1
Im002;0;0-1-1;0;1;0.00000;7.60670;1.01734;1.63548;0.96433;8.68870e-02;4.07600;1.01625;0
Im002;0;0-2-0;0;0;0.00000;7.54595;0.90303;1.63548;4.62465;3.56930e-02;6.22098;0.85137;1
Im002;0;0-2-1;0;1;0.00000;7.62510;1.60031;2.78185;1.90544;5.76214e-02;6.22098;0.86654;0
Im002;0;0-3-0;0;0;0.00000;3.64198;0.82302;1.72395;0.86098;-5.67092e-02;3.40816;0.94418;0
Im002;0;0-3-1;0;1;0.00000;4.52487;0.84588;1.21902;2.64414;-6.97094e-02;3.40816;0.91662;1
Im002;0;0-4-0;0;0;0.00000;9.47394;1.22310;2.42393;1.72748;1.09364e-02;3.26876;0.82932;0
Im002;0;0-5-0;0;0;0.00000;9.04393;1.25739;2.57485;1.96689;2.49375e-02;3.57257;0.82705;0
Im002;0;0-6-0;0;0;0.00000;5.53211;0.53725;0.98571;2.24401;-3.51658e-02;3.03786;0.97342;0
Im002;0;0-6-1;0;1;0.00000;4.89941;0.54868;1.19535;0.84526;2.74060e-02;3.03786;0.93987;0
Im002;0;1-0-0;1;0;2.00000;9.38142;1.55459;2.93579;1.54785;5.81597e-02;3.41328;0.86728;0
Im002;0;1-1-0;1;0;2.00000;7.36365;0.94876;1.32247;3.06423;0.11793;4.07600;1.05561;0
Im002;0;1-1-1;1;1;2.00000;7.60670;1.01734;1.63548;0.96433;8.68870e-02;4.07600;1.01625;0
Im002;0;1-2-0;1;0;2.00000;7.54595;0.90303;1.63548;4.62465;3.56930e-02;6.22098;0.85137;0
Im002;0;1-2-1;1;1;2.00000;7.62510;1.60031;2.78185;1.90544;5.76214e-02;6.22098;0.86654;0
Im002;0;1-3-0;1;0;2.00000;3.64198;0.82302;1.72395;0.86098;-5.67092e-02;3.40816;0.94418;0
Im002;0;1-3-1;1;1;2.00000;4.52487;0.84588;1.21902;2.64414;-6.97094e-02;3.40816;0.91662;0
Im002;0;1-4-0;1;0;2.00000;9.47394;1.22310;2.42393;1.72748;1.09364e-02;3.26876;0.82932;1
Im002;0;1-5-0;1;0;2.00000;9.04393;1.25739;2.57485;1.96689;2.49375e-02;3.57257;0.82705;0
Im002;0;1-6-0;1;0;2.00000;5.53211;0.53725;0.98571;2.24401;-3.51658e-02;3.03786;0.97342;0
