Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity
Im001;0;0-1-0;0;0;0.00000;2.20717;0.40728;3.35176;0.87991;0-1-0;23;23;0-1;false;false;NA;1-1-0;5.29488e+03
Im001;0;0-2-0;0;0;0.00000;0.38144;0.13904;3.74753;0.70392;0-2-0;1;1;0-2;false;false;NA;NA;4.89067e+03
Im001;0;0-3-0;0;0;0.00000;1.68328;0.17801;4.42686;0.77978;0-3-0;10;10;0-3;false;false;NA;1-3-0;4.21067e+03
Im001;0;0-5-0;0;0;0.00000;0.94191;-0.10200;3.36688;0.82680;0-5-0;5;5;0-5;false;false;NA;1-5-0;3.72500e+03
Im001;0;1-1-0;1;0;8.69300e+03;2.24768;0.30224;3.35176;0.88178;0-1-0;23;23;0-1;false;false;0-1-0;2-1-0;5.56833e+03
Im001;0;1-3-0;1;0;8.69300e+03;1.38667;-0.30219;4.42686;0.78777;0-3-0;10;10;0-3;false;false;0-3-0;2-3-0;3.66078e+03
Im001;0;1-5-0;1;0;8.69300e+03;1.11060;-0.15978;3.36688;0.83768;0-5-0;5;5;0-5;false;false;0-5-0;2-5-0;3.30189e+03
Im001;0;2-1-0;2;0;4.00000;2.23014;0.33778;3.35176;0.88097;0-1-0;23;23;0-1;false;false;1-1-0;3-1-0;6.32222e+03
Im001;0;2-2-0;2;0;4.00000;1.04481;0.21552;3.74753;0.80060;2-2-0;23;23;0-2;false;false;NA;3-2-0;4.98700e+03
Im001;0;2-3-0;2;0;4.00000;1.68137;-3.55201e-02;4.42686;0.77984;0-3-0;10;10;0-3;false;false;1-3-0;3-3-0;4.98344e+03
Im001;0;2-5-0;2;0;4.00000;1.11558;-0.12875;3.36688;0.83782;0-5-0;5;5;0-5;false;false;1-5-0;3-5-0;3.91533e+03
Im001;0;3-0-0;3;0;6.00000;0.27368;-0.32386;2.91328;0.75712;3-0-0;1;1;0-0;false;false;NA;NA;3.82225e+03
Im001;0;3-1-0;3;0;6.00000;2.22053;0.30605;3.35176;0.88053;0-1-0;23;23;0-1;false;false;2-1-0;4-1-0;5.08856e+03
Im001;0;3-2-0;3;0;6.00000;1.01730;0.26748;3.74753;0.79986;2-2-0;23;23;0-2;false;false;2-2-0;4-2-0;4.38856e+03
Im001;0;3-3-0;3;0;6.00000;1.66202;8.03418e-03;4.42686;0.78045;0-3-0;10;10;0-3;false;false;2-3-0;4-3-0;4.98278e+03
Im001;0;3-5-0;3;0;6.00000;1.09086;-7.05655e-02;3.36688;0.83670;0-5-0;5;5;0-5;false;false;2-5-0;4-5-0;3.67967e+03
Im001;0;4-1-0;4;0;8.00000;2.26146;0.28915;3.35176;0.88242;0-1-0;23;23;0-1;false;false;3-1-0;5-1-0;5.30744e+03
Im001;0;4-2-0;4;0;8.00000;0.91501;0.22915;3.74753;0.79665;2-2-0;23;23;0-2;false;false;3-2-0;5-2-0;4.63156e+03
Im001;0;4-3-0;4;0;8.00000;1.60596;-0.11493;4.42686;0.78226;0-3-0;10;10;0-3;false;false;3-3-0;5-3-0;4.66456e+03
Im001;0;4-5-0;4;0;8.00000;1.09253;-8.25982e-02;3.36688;0.83679;0-5-0;5;5;0-5;false;false;3-5-0;NA;2.69544e+03
