Position;PositionIdx;Indices;Frame;Idx;Time;RecBIntensity;Area;SNR;SpotCount;SpineWidth;SpineLength;BacteriaLineage;NextDivisionFrame;PreviousDivisionFrame
Im001;0;0-0;0;0;1.69462e+12;3.17918e+03;2.92629;453.48610;0;0.92345;2.91328;A;NA;NA
Im001;0;0-1;0;1;1.69462e+12;3.63631e+03;3.12061;910.61020;1;0.83490;3.35176;B;NA;NA
Im001;0;0-2;0;2;1.69462e+12;4.00643e+03;3.30351;1.28073e+03;1;0.77911;3.74753;C;NA;NA
Im001;0;0-3;0;3;1.69462e+12;3.28861e+03;3.90934;562.91362;1;0.77986;4.42686;D;NA;NA
Im001;0;0-4;0;4;1.69462e+12;3.27143e+03;2.28616;545.73250;0;0.75918;2.56662;E;NA;NA
Im001;0;0-5;0;5;1.69462e+12;2.72602e+03;3.08632;0.32473;1;0.82150;3.36688;F;NA;NA
Im001;0;1-0;1;0;0.00000;2.96880e+03;2.92629;424.43195;0;0.92345;2.91328;A;NA;NA
Im001;0;1-1;1;1;0.00000;3.42013e+03;3.12061;875.76304;0;0.83490;3.35176;B;NA;NA
Im001;0;1-2;1;2;0.00000;3.56624e+03;3.30351;1.02187e+03;0;0.77911;3.74753;C;NA;NA
Im001;0;1-3;1;3;0.00000;3.06310e+03;3.90934;518.73058;0;0.77986;4.42686;D;NA;NA
Im001;0;1-4;1;4;0.00000;3.06028e+03;2.28616;515.90617;0;0.75918;2.56662;E;NA;NA
Im001;0;1-5;1;5;0.00000;2.49133e+03;3.08632;-53.03920;0;0.82150;3.36688;F;NA;NA
Im001;0;2-0;2;0;4.00000;3.33917e+03;2.92629;445.53728;0;0.92345;2.91328;A;NA;NA
Im001;0;2-1;2;1;4.00000;3.82331e+03;3.12061;929.67676;0;0.83490;3.35176;B;NA;NA
Im001;0;2-2;2;2;4.00000;3.95516e+03;3.30351;1.06153e+03;1;0.77911;3.74753;C;NA;NA
Im001;0;2-3;2;3;4.00000;3.52475e+03;3.90934;631.11687;0;0.77986;4.42686;D;NA;NA
Im001;0;2-4;2;4;4.00000;3.39172e+03;2.28616;498.08541;0;0.75918;2.56662;E;NA;NA
Im001;0;2-5;2;5;4.00000;2.82229e+03;3.08632;-71.34570;0;0.82150;3.36688;F;NA;NA
Im001;0;3-0;3;0;6.00000;3.22430e+03;2.92629;409.44047;1;0.92345;2.91328;A;NA;NA
Im001;0;3-1;3;1;6.00000;3.64418e+03;3.12061;829.31551;0;0.83490;3.35176;B;NA;NA
