Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity
Im003;0;0-1-0;0;0;0.00000;1.17760;0.31522;2.15013;0.86246;0-1-0;33;33;0-1;false;false;NA;1-1-0;2.70154e+03
Im003;0;0-13-0;0;0;0.00000;1.59916;-0.25603;3.50117;0.83710;0-13-0;34;34;0-13;false;false;NA;1-13-0;6.62811e+03
Im003;0;0-23-0;0;0;0.00000;0.33669;7.08601e-02;2.22561;0.74699;0-23-0;1;1;0-23;false;false;NA;NA;2.57056e+03
Im003;0;0-41-0;0;0;0.00000;3.07686;-0.34637;3.49958;0.74918;0-41-0;3;3;0-41;false;false;NA;1-41-0;3.09143e+03
Im003;0;0-44-0;0;0;0.00000;9.52706e-02;4.61932e-02;4.30893;0.58265;0-44-0;1;1;0-44;false;false;NA;NA;2.86889e+03
Im003;0;0-46-0;0;0;0.00000;2.42206;-1.73538e-02;2.74133;0.69853;0-46-0;38;38;0-46;false;false;NA;1-46-0;3.66656e+03
Im003;0;1-1-0;1;0;9.01000e+03;1.12667;0.29282;2.15013;0.86472;0-1-0;33;33;0-1;false;false;0-1-0;2-1-0;2.78333e+03
Im003;0;1-3-0;1;0;9.01000e+03;3.05289;-0.37314;4.64135;0.77621;1-3-0;1;1;0-3;false;false;NA;NA;3.58957e+03
Im003;0;1-11-0;1;0;9.01000e+03;1.25404;6.52042e-03;3.34734;0.71568;1-11-0;1;1;0-11;false;false;NA;NA;3.43200e+03
Im003;0;1-13-0;1;0;9.01000e+03;1.59985;-0.25124;3.50117;0.83710;0-13-0;34;34;0-13;false;false;0-13-0;2-13-0;6.23689e+03
Im003;0;1-30-0;1;0;9.01000e+03;0.77270;0.33059;3.80265;0.83392;1-30-0;2;2;0-30;false;false;NA;2-30-0;2.92913e+03
Im003;0;1-41-0;1;0;9.01000e+03;3.06837;-0.34573;3.49958;0.75096;0-41-0;3;3;0-41;false;false;0-41-0;2-41-0;3.16771e+03
Im003;0;1-46-0;1;0;9.01000e+03;2.42650;-7.69238e-03;2.74133;0.69817;0-46-0;38;38;0-46;false;false;0-46-0;2-46-0;3.61700e+03
Im003;0;2-1-0;2;0;4.00000;1.11750;0.32261;2.15013;0.86515;0-1-0;33;33;0-1;false;false;1-1-0;3-1-0;3.27744e+03
Im003;0;2-13-0;2;0;4.00000;1.60206;-0.26781;3.50117;0.83713;0-13-0;34;34;0-13;false;false;1-13-0;3-13-0;6.36244e+03
Im003;0;2-30-0;2;0;4.00000;0.80218;0.36547;3.80265;0.83504;1-30-0;2;2;0-30;false;false;1-30-0;NA;3.28950e+03
Im003;0;2-41-0;2;0;4.00000;3.07316;-0.33725;3.49958;0.74995;0-41-0;3;3;0-41;false;false;1-41-0;NA;3.84214e+03
Im003;0;2-46-0;2;0;4.00000;2.42907;1.25880e-02;2.74133;0.69796;0-46-0;38;38;0-46;false;false;1-46-0;3-46-0;4.19422e+03
Im003;0;3-1-0;3;0;6.00000;1.13156;0.31047;2.15013;0.86450;0-1-0;33;33;0-1;false;false;2-1-0;4-1-0;2.98422e+03
Im003;0;3-10-0;3;0;6.00000;1.26120;-0.25776;3.44267;0.89321;3-10-0;1;1;0-10;false;false;NA;NA;3.53600e+03
Im003;0;3-13-0;3;0;6.00000;1.60798;-0.27333;3.50117;0.83723;0-13-0;34;34;0-13;false;false;2-13-0;4-13-0;6.48256e+03
Im003;0;3-15-0;3;0;6.00000;2.59113;-1.82620e-02;2.66949;0.58659;3-15-0;2;2;0-15;false;false;NA;4-15-0;3.56838e+03
Im003;0;3-25-0;3;0;6.00000;2.52370;-0.15973;3.37813;0.85040;3-25-0;5;5;0-25;false;false;NA;4-25-0;3.93244e+03
Im003;0;3-46-0;3;0;6.00000;2.40104;3.62215e-02;2.74133;0.70048;0-46-0;38;38;0-46;false;false;2-46-0;4-46-0;3.90011e+03
Im003;0;4-1-0;4;0;8.00000;1.14212;0.29062;2.15013;0.86402;0-1-0;33;33;0-1;false;false;3-1-0;5-1-0;3.12589e+03
Im003;0;4-13-0;4;0;8.00000;1.60271;-0.27807;3.50117;0.83714;0-13-0;34;34;0-13;false;false;3-13-0;5-13-0;6.75556e+03
Im003;0;4-15-0;4;0;8.00000;2.60459;-3.90170e-02;2.66949;0.57761;3-15-0;2;2;0-15;false;false;3-15-0;NA;3.67013e+03
