Position;PositionIdx;Indices;Frame;Idx;Time;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;DistCC_oc1;Raw_intensity
Im001;0;0-0;0;0;0.00000;0-0;1;1;0;false;false;NA;NA;0.82813;0.22568;1.96387;0.97792;0.43680;4.12133e+03
Im001;0;2-0;2;0;9.68400e+03;2-0;1;1;0;false;false;NA;NA;1.90085;-0.17998;2.30640;0.77356;0.29069;6.92256e+03
Im001;0;2-1;2;1;9.68400e+03;2-1;2;2;0;false;false;NA;3-0;0.61816;1.28818e-02;4.76728;0.92205;0.19767;4.97233e+03
Im001;0;3-0;3;0;6.00000;2-1;2;2;0;false;false;2-1;NA;0.62359;4.24362e-02;4.76728;0.92365;0.18718;5.45656e+03
Im001;0;3-1;3;1;6.00000;3-1;2;2;0;false;false;NA;4-1;0.61292;-0.35339;1.96387;0.95795;0.52234;4.32078e+03
Im001;0;4-0;4;0;8.00000;4-0;5;5;0;false;false;NA;5-0;2.68284;3.76124e-02;3.21526;0.84036;0.11743;5.85000e+03
Im001;0;4-1;4;1;8.00000;3-1;2;2;0;false;false;3-1;NA;0.58669;-0.35925;1.96387;0.95129;0.55157;3.87833e+03
Im001;0;5-0;5;0;10.00000;4-0;5;5;0;false;false;4-0;6-1;2.64319;2.41091e-02;3.21526;0.84190;0.13987;7.65156e+03
Im001;0;5-1;5;1;10.00000;5-1;2;2;0;false;false;NA;6-2;0.59741;0.37599;3.54119;0.89362;0.38287;4.42625e+03
Im001;0;6-0;6;0;12.00000;6-0;1;1;0;false;false;NA;NA;1.95574;0.46710;2.64135;0.98401;0.52066;4.27657e+03
Im001;0;6-1;6;1;12.00000;4-0;5;5;0;false;false;5-0;7-0;2.59435;4.73649e-02;3.21526;0.84384;5.54410e-02;6.27278e+03
Im001;0;6-2;6;2;12.00000;5-1;2;2;0;false;false;5-1;NA;0.59324;0.38284;3.54119;0.89266;0.37901;4.16638e+03
Im001;0;6-3;6;3;12.00000;6-3;5;5;0;false;false;NA;7-1;0.62128;-0.36353;1.96387;0.95921;0.65785;3.96222e+03
Im001;0;7-0;7;0;14.00000;4-0;5;5;0;false;false;6-1;8-1;2.64361;-3.18264e-02;3.21526;0.84189;0.14974;5.86344e+03
