Position;PositionIdx;Indices;Frame;Idx;Time;SNR;Nucleoid_size;NucleoidLength;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;ObjectCount
Im001;0;0-0-0;0;0;0.00000;11.20124;1.34884;2.41211;1.62188;1.12029e-02;3.24957;0.85986;0
Im001;0;0-1-0;0;0;0.00000;12.30564;0.62869;1.05299;0.97779;-7.53389e-02;1.94364;0.79445;0
Im001;0;0-2-0;0;0;0.00000;11.07557;0.68585;1.24683;0.82103;-7.08223e-02;1.88935;0.79019;0
Im001;0;0-3-0;0;0;0.00000;9.81612;1.20024;2.15162;1.36836;5.34054e-02;2.61056;0.93449;0
Im001;0;0-4-0;0;0;0.00000;13.65264;1.10879;2.18065;1.19045;-4.76117e-02;2.64443;0.92220;0
Im001;0;0-5-0;0;0;0.00000;11.19993;1.18880;2.18065;1.56159;-3.65858e-02;2.81429;0.90509;0
Im001;0;0-6-0;0;0;0.00000;11.61063;0.67442;1.19535;1.00275;-6.43770e-04;3.77553;0.85582;0
Im001;0;0-6-1;0;1;0.00000;11.37809;0.66299;1.32247;2.72063;-1.62624e-02;3.77553;0.92393;0
Im001;0;0-7-0;0;0;0.00000;6.50091;1.01734;1.83009;1.13462;3.97769e-02;2.23193;0.94839;0
Im001;0;0-8-0;0;0;0.00000;11.29083;0.73157;1.39400;0.93982;-1.00501e-02;2.26794;0.70727;0
Im001;0;0-9-0;0;0;0.00000;10.54611;0.76586;1.48915;1.24480;-5.74198e-02;2.10970;0.77433;0
Im001;0;0-10-0;0;0;0.00000;8.61891;1.54316;3.03910;1.91063;2.61485e-02;3.58154;0.81387;0
Im001;0;0-11-0;0;0;0.00000;10.79536;1.20024;2.05655;1.42313;-7.07212e-02;2.74635;0.83643;0
Im001;0;0-12-0;0;0;0.00000;22.67099;0.69728;1.28743;0.76500;5.17736e-03;1.69838;0.90720;0
Im001;0;0-13-0;0;0;0.00000;6.14466;1.07450;2.26801;1.42555;-4.89437e-02;2.79904;0.81715;0
Im001;0;0-14-0;0;0;0.00000;11.90206;0.96019;1.65977;1.19058;-2.00421e-02;2.59995;0.79469;0
Im001;0;0-15-0;0;0;0.00000;10.09961;1.37170;2.82466;1.50026;-4.39879e-02;3.07819;0.81356;0
Im001;0;0-16-0;0;0;0.00000;13.56226;0.68585;1.40625;1.29347;-4.20921e-02;1.98329;0.80813;0
Im001;0;0-17-0;0;0;0.00000;11.85108;0.97162;1.83009;1.13499;2.81107e-02;2.50505;0.89146;0
Im001;0;1-0-0;1;0;2.00000;11.20124;1.34884;2.41211;1.62188;1.12029e-02;3.24957;0.85986;0
Im001;0;1-1-0;1;0;2.00000;12.30564;0.62869;1.05299;0.97779;-7.53389e-02;1.94364;0.79445;0
Im001;0;1-2-0;1;0;2.00000;11.07557;0.68585;1.24683;0.82103;-7.08223e-02;1.88935;0.79019;0
Im001;0;1-3-0;1;0;2.00000;9.81612;1.20024;2.15162;1.36836;5.34054e-02;2.61056;0.93449;0
Im001;0;1-4-0;1;0;2.00000;13.65264;1.10879;2.18065;1.19045;-4.76117e-02;2.64443;0.92220;0
Im001;0;1-5-0;1;0;2.00000;11.19993;1.18880;2.18065;1.56159;-3.65858e-02;2.81429;0.90509;0
Im001;0;1-6-0;1;0;2.00000;11.61063;0.67442;1.19535;1.00275;-6.43770e-04;3.77553;0.85582;0
Im001;0;1-6-1;1;1;2.00000;11.37809;0.66299;1.32247;2.72063;-1.62624e-02;3.77553;0.92393;0
Im001;0;1-7-0;1;0;2.00000;6.50091;1.01734;1.83009;1.13462;3.97769e-02;2.23193;0.94839;0
Im001;0;1-8-0;1;0;2.00000;11.29083;0.73157;1.39400;0.93982;-1.00501e-02;2.26794;0.70727;0
Im001;0;1-9-0;1;0;2.00000;10.54611;0.76586;1.48915;1.24480;-5.74198e-02;2.10970;0.77433;0
Im001;0;1-10-0;1;0;2.00000;8.61891;1.54316;3.03910;1.91063;2.61485e-02;3.58154;0.81387;0
